lemma;sentiment
великолепно сыграть роль;1
великолепный атмосфера;1
великолепный впечатление;1
великолепный группа;1
великолепный дизайн;1
великолепный заведение;1
великолепный зрелище;1
великолепный качество;1
великолепный кино;1
великолепный меню;1
великолепный наушник;1
великолепный образ;1
великолепный обслуживание;1
великолепный остросюжетный роман;1
великолепный отдых;1
великолепный персонал;1
великолепный песня;1
великолепный работа оператор;1
великолепный работа;1
великолепный юмор;1
вердикт не читать;-1
вернуть магазин на следующий день;-1
вернуть магазин;-1
вернуть обратно в магазин;-1
весело проводить время;1
веселый атмосфера;1
веселый ведущий;1
веселый песня;1
весьма довольный;1
весьма достойный;1
весьма занимательный;1
весьма посредственный фильм;-1
весьма приятный;1
весьма удобный;1
весьма хороший;1
вечер испортить;-1
вешать компьютер;-1
вешать сеть;-1
вешать система;-1
взрываться стекло;-1
взять и не пожалеть;1
взять не пожалеть;1
виснуть наглухо;-1
виснуть постоянно;-1
вкусный авторский кухня;1
вкусный вафля;1
вкусный выпечка;1
вкусный горячий блюдо;1
вкусный еда всегда;1
вкусный и недорогой еда;1
вкусный и разнообразный еда;1
вкусный изысканный кухня;1
вкусный коктейль;1
вкусный колбаска;1
вкусный кухня;1
вкусный мороженое;1
вкусный мясной блюдо;1
вкусный недорогой еда;1
вкусный обед;1
вкусный паста;1
вкусный пицца;1
вкусный плов;1
вкусный разнообразный еда;1
вкусный рыба;1
вкусный стол;1
вкусный сыр;1
вкусный сытный еда;1
вкусный чебурек;1
вкусный эклер;1
влажный уборка не проводиться;-1
вместительный багажник;1
вместительный салон багажник;1
вместительный салон;1
вместительный чаша;1
вне конкуренция;1
внимательный вежливый обслуживание;1
внимательный вежливый персонал;1
внимательный доброжелательный отношение к клиент;1
внимательный и вежливый обслуживание;1
внимательный и вежливый персонал;1
внимательный и отзывчивый персонал;1
внимательный обслуживание;1
внимательный отзывчивый персонал;1
внимательный отношение к клиент;1
внимательный отношение к свой клиент;1
внимательный отношение;1
внимательный персонал;1
внимательный подход;1
внимательный сотрудник;1
внимательный специалист;1
вода горячий нет;-1
вода после кипячение вонять;-1
вода ржавый;-1
вода чистый и прозрачный;1
вода чистый прозрачный;1
возврат не подлежать;-1
воздерживаться покупка;-1
возмущение нет предел;-1
волшебный кухня;1
волшебный место;1
вонь номер;-1
вонючий номер;-1
вонючий отель;-1
вонючий рыба;-1
вонять горелый;-1
вонять кислятина;-1
вонять помои;-1
вонять резина;-1
вонять старье;-1
вообще вызывать отвращение;-1
вообще караул;-1
вообще не греть;-1
вообще не прописывать;-1
вообще не работать;-1
вообще не рекомендовать;-1
вообще не стричь;-1
вообще не тянуть;-1
вообще никакой эмоция не вызывать;-1
вообще никто не рекомендовать отель;-1
вообще никто не рекомендовать;-1
вообще ничто не нравиться;-1
вообще ничто новый;-1
вообще переставать включаться;-1
вообще переставать определяться;-1
вообще переставать работать;-1
вообще переставать реагировать;-1
вообще супер;1
вообще тихий ужас;-1
вообще ужасный;-1
вопрос решать очень быстро;1
вопрос решаться оперативно;1
восхитительный еда;1
восхищаться автор;1
восхищаться талант;1
впечатление испортить;-1
впечатление от отель не самый хороший;-1
впечатление от отель отвратительный;-1
впечатление от отель просто ужасный;-1
впечатление отель положительный;1
впечатление отличный;1
впечатление очень положительный;1
впечатление очень хороший;1
впечатление положительный;1
впечатление приятный;1
впечатление просто ужасный;-1
впечатление самый хороший;1
впечатление только положительный;1
впечатление только самый хороший;1
впечатление ужасный;-1
впечатление хороший;1
вполне адекватный;1
вполне довольный;1
вполне достойный;1
вполне комфортно;1
вполне комфортный;1
вполне нормальный;1
вполне приличный;1
вполне удобно;1
вполне устраивать;1
вполне уютный;1
вполне хороший;1
враг не пожелать такой отдых;-1
враг не пожелать;-1
враг не посоветовать;-1
время потратить впустую;-1
время пролетать незаметно;1
время экономить;1
все аккуратно;1
все безупречно;1
все блюдо очень вкусный;1
все блюдо понравиться;1
все в восторг;1
все в рабочий состояние;1
все в ужасный состояние;-1
все великолепно;1
все вкусно разнообразно;1
все вкусно;1
все восторг;1
все высасывать из палец;-1
все выходить из строй;-1
все греметь;-1
все гуд;1
все доброжелательный;1
все довольный;1
все доступно объяснять;1
все доступно;1
все доходчиво объяснять;1
все дребезжать;-1
все завораживать;1
все замечательно;1
все здорово;1
все идеально;1
все идеальный;1
все интуитивно понятно;1
все исправно;1
все качественно;1
все летать;1
все ломаться;-1
все на высокий уровень;1
все надоедать;-1
все настолько глупый;-1
все неплохо;1
все несвежий;-1
все нравиться;1
все нужно выпрашивать;-1
все оперативно;1
все оперативный;1
все оставаться довольный еда;1
все оставаться довольный;1
все оставаться очень довольный;1
все отлично;1
все очень быстро;1
все очень вежливый;1
все очень вкусно и красиво;1
все очень вкусно и разнообразно;1
все очень вкусно красиво;1
все очень вкусно разнообразно;1
все очень вкусно;1
все очень вкусный;1
все очень гармонично;1
все очень грамотно;1
все очень грязный;-1
все очень доброжелательный;1
все очень довольный;1
все очень достойно;1
все очень доступно;1
все очень доходчиво;1
все очень мило;1
все очень нравиться;1
все очень оперативно;1
все очень печально;-1
все очень подробно объяснять;1
все очень понравиться;1
все очень понятно;1
все очень приветливый;1
все очень просто;1
все очень удобно;1
все очень чисто;1
все плохо;-1
все плохой;-1
все подробно объяснять;1
все понравиться;1
все понятно объяснять;1
все понятно;1
все потрясающе;1
все превосходно;1
все прекрасно работать;1
все прекрасно;1
все приветливый;1
все продумывать до мелочь;1
все продумывать;1
все прозрачно;1
все пропекаться;1
все просто великолепно;1
все просто отлично;1
все просто супер;1
все работать исправно;1
все работать отлично;1
все равный интересный;1
все равный понравиться;1
все равный приятно;1
все равный сломаться;-1
все радовать;1
все рекомендовать отель;1
все рекомендовать послушать;1
все рекомендовать;1
все свежий;1
все сгнивать;-1
все сделать очень быстро;1
все сломаться;-1
все советовать обращаться;1
все советовать посещать ресторан;1
все советовать послушать;1
все советовать посмотреть фильм;1
все советовать прочитывать;1
все советовать слушать;1
все советовать;1
все стучать;-1
все супер вкусно;1
все супер;1
все сыпаться;-1
все так вкусно;1
все так нудно;-1
все убого;-1
все удобно;1
все ужасно;-1
все устраивать;1
все функционировать;1
все хорошо;1
все четко;1
все чистенько;1
все чисто аккуратно;1
все чисто и аккуратно;1
все ярко;1
всегда быстро;1
всегда внимательный;1
всегда все вкусно;1
всегда все свежий;1
всегда встречать с улыбка;1
всегда встречать улыбка;1
всегда выслушивать;1
всегда высокий уровень;1
всегда готовый отвечать на любой вопрос;1
всегда готовый отвечать;1
всегда готовый помогать;1
всегда готовый приходить на помощь;1
всегда доброжелательный;1
всегда заводиться;1
всегда идти навстречу;1
всегда можно позвонить;1
всегда нравиться песня;1
всегда нравиться;1
всегда оперативно отвечать;1
всегда оперативно;1
всегда оставаться довольный;1
всегда отвечать вопрос;1
всегда отзывчивый;1
всегда очень вежливый;1
всегда помогать в решение;1
всегда помогать решение;1
всегда помогать;1
всегда приветливый;1
всегда приходить на помощь;1
всегда приятно обращаться;1
всегда приятно приходить;1
всегда приятно слушать;1
всегда свободный лежак;1
всегда стараться находить индивидуальный подход;1
всегда улыбчивый;1
встречать отлично;1
встречать приветливо;1
встречать с улыбка;1
встречать улыбка;1
второй день сломаться;-1
второй претензия;-1
входить в история;1
входной дверь не закрываться;-1
выбор довольный;1
выбор еда очень скудный;-1
выбор очень довольный;1
выбрасывать деньги на ветер;-1
выбрасывать деньги;-1
выбрасывать на помойка;-1
выбрасывать на свалка;-1
выброс деньги на ветер;-1
выброс деньги;-1
выглядеть дорого;1
выглядеть отталкивающе;-1
выглядеть очень стильно;1
выглядеть стильно;1
выглядеть ужасно;-1
выдавать отказываться;-1
выдавать чистый звук;1
вызывать смех и недоумение;-1
вызывать смех недоумение;-1
вызывать чувство брезгливость;-1
выкидывать в мусорный ведро;-1
выкидывать деньги на ветер;-1
выкидывать деньги;-1
выкидывать на ветер деньги;-1
выкидывать на помойка;-1
выкидывать телефон;-1
вылетать постоянно;-1
вымучивать книга;-1
вынуждать обращаться в суд;-1
вынуждать обращаться с жалоба;-1
выпадать из рука;-1
выпечка не вкусный;-1
выпечка очень вкусный;1
выполнять отлично;1
выражать благодарность банка;1
выражать благодарность коллектив ресторан;1
выражать благодарность коллектив;1
выражать благодарность менеджер ипотечный кредитование;1
выражать благодарность менеджер;1
выражать благодарность представитель банк;1
выражать благодарность представитель;1
выражать благодарность работник банк;1
выражать благодарность работник;1
выражать благодарность руководитель;1
выражать благодарность руководство;1
выражать благодарность сотрудник банк;1
выражать благодарность сотрудник отделение;1
выражать благодарность сотрудник офис;1
выражать благодарность сотрудник;1
выражать благодарность сотрудница банк;1
выражать благодарность сотрудница;1
выражать благодарность специалист;1
выражать благодарность;1
выражать большой благодарность сотрудник;1
выражать глубокий благодарность сотрудник;1
выражать глубокий благодарность;1
выражать искренний благодарность сотрудник;1
выражать искренний благодарность;1
выражать искренний слово благодарность коллектив;1
выражать искренний слово благодарность;1
выражать огромный благодарность банка;1
выражать огромный благодарность коллектив;1
выражать огромный благодарность менеджер;1
выражать огромный благодарность персонал ресторан;1
выражать огромный благодарность работник;1
выражать огромный благодарность сотрудник банк;1
выражать огромный благодарность сотрудник отделение;1
выражать огромный благодарность сотрудник;1
выражать огромный благодарность сотрудница;1
выражать огромный благодарность специалист;1
выражать огромный благодарность;1
выражать огромный признательность;1
выражать особый благодарность;1
выражать отдельный благодарность;1
выражать признательность сотрудник;1
выражать свой благодарность банка;1
выражать свой благодарность сотрудник банк;1
выражать свой благодарность сотрудник;1
выражать свой благодарность сотрудница;1
выражать свой благодарность;1
выражать свой искренний благодарность;1
выражать свой признательность;1
высказывать слово благодарность сотрудник;1
высокий детализация;1
высокий качество звук;1
высокий качество изготовление;1
высокий качество печать;1
высокий качество сборка;1
высокий качество;1
высокий мощность всасывание;1
высокий мощность;1
высокий надежность;1
высокий оценка;1
высокий посадка;1
высокий производительность;1
высокий профессионализм работа;1
высокий профессионализм;1
высокий профессиональный уровень;1
высокий проходимость;1
высокий процент брак;-1
высокий сервис;1
высокий уровень обслуживание;1
высокий уровень персонал;1
высокий уровень профессионализм;1
высокий уровень сервис;1
высокий частота резать слух;-1
высоко все похвала;1
высоко всякий похвала;1
вытекать фреон;-1
вытяжка нет;-1
выходить из строй блок управление;-1
выходить из строй кнопка;-1
выходить из строй компрессор;-1
выходить из строй модуль управление;-1
выходить из строй плата управление;-1
выходить из строй через месяц;-1
вялый сюжет;-1
гарантийный ремонт не подлежать;-1
гармонично вписываться;1
гениальный сериал;1
гениальный человек;1
герой безликий;-1
герой картонный;-1
герой не вызывать никакой эмоция;-1
герой не вызывать сопереживание;-1
герой не хотеться сопереживать;-1
герой неинтересный;-1
герой яркий;1
главный минус;-1
главный недостаток;-1
главный ошибка создатель;-1
главный плюс книга;1
главный преимущество;1
главный провал;-1
главный разочарование год;-1
гладить невозможно;-1
глаз не болеть;1
глаз не уставать;1
глубокий бас;1
глубокий благодарность сотрудник;1
глубокий благодарность;1
глубокий звук;1
глубокий произведение;1
глупый монолог;-1
глупый начало;-1
глупый чтиво;-1
глюк нет;1
гнилой апельсин;-1
голимый китай;-1
голова не уставать;1
голова сидеть неудобно;-1
голодный точно не оставаться;1
голос прекрасный;1
голос приятный;1
гостеприимный атмосфера;1
гостеприимный заведение;1
гость оставаться в восторг;1
гость оставаться очень довольный;1
готовить быстро;1
готовить очень быстро;1
готовить очень вкусно;1
готовить хорошо;1
готовиться быстро;1
готовый отвечать на любой вопрос;1
готовый помогать в любой вопрос;1
готовый приходить на помощь;1
грамотно все объяснять;1
грамотно консультировать;1
грамотно оформлять;1
грамотно проконсультировать;1
грамотно профессионально отвечать вопрос;1
грамотно рассказывать;1
грамотный вежливый сотрудник;1
грамотный консультация;1
грамотный обслуживание;1
грамотный персонал;1
грамотный подход;1
грамотный речь;1
греметь салон;-1
греть плохо;-1
грим ужасный;-1
громкий динамик;1
громкий звонок;1
громкий звук;1
громкий треск;-1
громкий чистый звук;1
грубый нарушение;-1
грубый форма;-1
группа любимый;1
группа молодец;1
группа нравиться;1
группа отличный;1
группа очень хороший;1
группа хороший;1
грязный кружка;-1
грязный покрывало;-1
грязный старый номер;-1
грязный стойка;-1
грязный столовка;-1
гуманный ценник;1
давать отличный номер;1
дальнейший плодотворный сотрудничество;1
данный книжонка;-1
данный модель не рекомендовать;-1
даром не нужно;-1
дверь закрываться плохо;-1
дверь отваливаться;-1
дверь плохо закрываться;-1
двигатель надежный;1
дебильный диалог;-1
дебильный сюжет;-1
действительно вкусный еда;1
действительно качественный;1
действительно отличный;1
действительно очень вкусно;1
действительно очень удобный;1
действительно приятно;1
делать все быстро;1
демократичный цена;1
денежный средство не зачислять;-1
деньги впустую;-1
деньги выбрасывать на ветер;-1
деньги выбрасывать;-1
деньги жалко;-1
деньги не выдавать;-1
деньги не переводить;-1
деньги не получать;-1
деньги не стоить;-1
деньги потратить зря;-1
деньги так не вернуть;-1
деньги так не поступать;-1
деревянный язык;-1
держать в постоянный напряжение;1
держать отлично;1
держать удобно;1
держать хорошо;1
дернуть купить;-1
десерт обалденный;1
десерт хороший;1
дешевизна обслуживание;1
дешевый пластик;-1
дешевый приемчик;-1
дешевый фарс;-1
дешевый чтиво;-1
диалог банальный;-1
диалог бессмысленный;-1
диалог настолько банальный;-1
диалог примитивный;-1
диалог пустой;-1
диалог скучный;-1
диалог тупой;-1
диалог ужасный;-1
дизайн нравиться;1
дизайн отличный;1
дизайн отстой;-1
дизайн современный;1
дизайн супер;1
дизайн хороший;1
дикий треш;-1
дико скучный;-1
динамик громкий;1
динамик отличный;1
динамика отличный;1
динамика хороший;1
динамичный книга;1
дисплей большой;1
длительный работа батарейка;1
добро пожаловать в ад;-1
добродушный персонал;1
доброжелательность сотрудник;1
доброжелательный атмосфера;1
доброжелательный обслуживание;1
доброжелательный отношение к клиент банк;1
доброжелательный отношение к клиент;1
доброжелательный отношение к свой клиент;1
доброжелательный отношение;1
доброжелательный персонал;1
доброжелательный сотрудник;1
добросовестный отношение к свой работа;1
добросовестный отношение;1
добросовестный труд;1
добротный детектив;1
добротный юмор;1
добрый и отзывчивый персонал;1
добрый и светлый книга;1
добрый отзывчивый персонал;1
добрый отношение к клиент;1
добрый отношение;1
добрый светлый книга;1
довольно вкусно;1
довольно легкий;1
довольно мощный;1
довольно неплохой;1
довольно просторный;1
довольно резвый;1
довольно уютно;1
довольно шустрый;1
довольно экономичный;1
довольный все;1
довольный выбор;1
довольный качество;1
довольный машина;1
довольный машинка;1
довольный обслуживание банк;1
довольный обслуживание в банк;1
довольный обслуживание сотрудник;1
довольный отношение;1
довольный очень;1
довольный поездка;1
довольный покупка;1
довольный полностью;1
довольный приобретение;1
довольный работа сотрудник;1
довольный результат;1
довольный свой выбор;1
довольный свой покупка;1
довольный семья;1
довольный сотрудничество;1
довольный условие;1
документ оформлять быстро;1
долгий время работа;1
долгий обслуживание;-1
долго держать батарея;1
долго держать заряд;1
долго держать зарядка;1
долго прогреваться;-1
долгоиграющий батарея;1
должный посмотреть каждый;1
должный увидеть каждый;1
дорога держать отлично;1
дорога держать уверенно;1
дорога держать хорошо;1
дорога не держать;-1
дорога устойчивый;1
дорогой интерьер;1
дорогостоящий ремонт;-1
доставка быстрый;1
доставлять огромный удовольствие;1
доставлять удовольствие;1
достаточно вместительный;1
достаточно качественный;1
достаточно комфортно;1
достаточно комфортный;1
достаточно надежный;1
достаточно просторный;1
достаточно прочный;1
достаточно увлекательный;1
достаточно удобный;1
достаточно уютно;1
достаточно хороший;1
достоинство не видеть;-1
достоинство не замечать;-1
достоинство не находить;-1
достоинство не обнаруживать;-1
достоинство не увидеть;-1
достоинство нет;-1
достоинство нету;-1
достоинство отсутствовать;-1
достойный авто;1
достойный автомобиль;1
достойный аппарат;1
достойный вариант;1
достойный звук;1
достойный интерьер;1
достойный камера;1
достойный качество;1
