es Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
hidrológicas	water	0	-1	0	-1	0	1	1	0	1
acertar	do	1	1	1	0	0	1	1	0	1
envoltura	mean	0	0	0	0	0	-1	0	0	0
Gabón	reach	0	1	0	0	0	1	1	0	0
introducirían	introduce	1	1	1	1	1	1	1	1	1
error-	mistake	0	0	-1	-1	-1	1	1	-1	-1
protegeremos	protect	1	1	1	1	0	1	1	1	1
manifestara	state	0	1	1	1	0	1	1	0	0
admito	admit	0	0	0	1	0	1	1	0	0
enreden	become	0	0	0	0	0	0	1	0	0
regimos	govern	1	1	1	1	1	1	1	0	1
excuse	excuse	0	0	0	0	0	0	1	0	1
conduje	drive	1	1	0	1	0	1	1	0	1
puñetazo	bang	0	0	0	-1	0	1	1	-1	0
sayo	like	1	1	1	1	0	1	1	1	1
colaborara	work	1	1	1	1	0	1	1	0	1
criticado-	criticize	-1	0	-1	-1	0	0	1	-1	-1
inconexos	hand	1	1	0	1	1	1	1	0	1
contrajimos	make	0	0	0	1	0	0	1	0	0
ayudémosles	help	1	1	0	1	0	1	1	1	0
desempeñarían	play	1	1	1	1	1	1	1	0	1
constituyó	set	0	0	1	1	1	1	1	0	1
Anastassopoulos	remark	0	0	0	0	0	1	1	-1	1
correlativamente	be	0	1	0	0	0	0	1	0	1
aprendiz	prevent	0	0	0	-1	0	1	1	-1	0
posteriormente	date	0	0	1	0	1	0	1	0	1
contínua	further	1	1	1	1	0	1	1	0	1
implantando	implement	1	1	1	1	1	1	1	0	1
baladí	matter	0	0	0	-1	0	1	1	0	0
usarán	be	0	1	0	0	0	0	1	0	1
recogiese	take	1	1	1	0	1	1	1	0	1
rejuvenecido	grow	1	1	1	1	1	1	1	0	1
bastión	remain	0	0	0	0	0	0	1	0	0
incrementamos	increase	1	1	0	1	0	1	1	0	1
insinuación	hint	0	0	0	0	0	0	1	0	0
despojadas	strip	0	0	0	-1	0	1	1	0	0
destruir	destroy	0	-1	-1	-1	0	1	0	-1	0
luego	go	0	0	0	0	0	0	1	0	0
modélicos	model	0	0	0	1	1	1	1	0	1
lealmente	remember	1	1	1	1	1	1	1	1	1
menoscaban	undermine	0	-1	0	-1	0	1	0	0	0
Grupo–	group	0	0	0	1	1	0	1	0	1
supeditarse	be	0	1	0	0	0	0	1	0	1
ocultarlas	conceal	-1	0	-1	0	0	1	1	0	0
pensarla	be	0	1	0	0	0	0	1	0	1
Euro	provide	1	1	1	1	1	1	1	0	1
Jeggle	write	1	1	1	1	1	1	1	0	1
impartiendo	run	0	1	1	1	1	1	1	0	1
salvamento	rescue	1	1	1	1	1	1	1	1	1
fortificados	fortify	0	0	1	1	1	1	1	0	1
Le	say	0	0	0	0	0	0	1	0	0
adquirir	acquire	1	1	1	1	1	1	1	0	1
rayos	shine	1	1	1	1	1	1	1	0	1
inaplicación	apply	0	1	1	1	1	1	1	0	1
Lo	take	1	1	1	0	1	1	1	0	1
ejemplaridad	set	0	0	1	1	1	1	1	0	1
auxiliares-	process	0	0	1	1	1	1	1	0	0
calificaron	qualify	1	1	0	1	0	1	1	1	0
Francia–	vote	0	0	0	1	1	1	1	0	0
etiqueta	label	0	0	0	0	0	1	0	0	0
dictada	dictate	0	1	0	1	0	1	1	0	1
pinta	paint	1	1	1	1	1	1	1	0	1
want	want	1	0	1	0	0	1	1	0	1
refundación	start	1	1	1	1	1	1	1	0	1
perseveremos	continue	1	1	1	1	1	0	1	0	1
absoluta	complete	1	1	1	1	1	1	1	0	1
identificativos	enable	1	1	0	1	1	1	1	1	0
Ly	be	0	1	0	0	0	0	1	0	1
constituya	be	0	1	0	0	0	0	1	0	1
línea-	line	0	0	0	0	1	0	1	0	1
constituye	be	0	1	0	0	0	0	1	0	1
Massud	reflect	0	0	0	0	0	0	1	0	0
busco	be	0	1	0	0	0	0	1	0	1
litigiosos	issue	0	0	0	1	0	1	1	0	0
2025.	project	0	0	1	1	1	1	1	0	1
aprendió	learn	1	1	1	0	1	1	1	0	1
movilice	mobilize	0	0	0	1	0	1	1	0	0
temerse	fear	-1	0	-1	0	-1	0	1	0	-1
caldo	breed	-1	-1	0	1	0	0	0	0	0
anotado	note	0	0	0	0	0	0	1	0	0
terriblemente	be	0	1	0	0	0	0	1	0	1
ordenan	order	0	0	0	-1	0	0	1	0	0
sede	seat	1	1	1	1	0	1	1	1	0
ordenar	order	0	0	0	-1	0	0	1	0	0
calidad	level	0	1	1	1	1	0	1	0	1
razonada	reason	0	0	0	0	0	0	1	0	1
crecía	grow	1	1	1	1	1	1	1	0	1
sería	be	0	1	0	0	0	0	1	0	1
razonado	reason	0	0	0	0	0	0	1	0	1
determinaran	determine	0	0	0	0	0	0	1	0	1
rompen	break	0	0	-1	-1	1	1	1	0	1
suscitaría	raise	0	0	1	1	0	0	1	0	1
fertilizantes	plant	1	1	1	1	1	1	1	0	1
perforación	drill	0	1	0	1	1	1	1	0	1
archiconocidos	create	1	1	0	1	1	1	1	0	0
despedirnos	say	0	0	0	0	0	0	1	0	0
exasperante	infuriate	0	-1	0	-1	0	1	0	-1	0
idónea	appropriate	0	1	1	1	1	1	1	0	1
hambrunas	mass	0	0	0	1	0	0	1	0	0
importantes-	major	0	1	0	0	1	1	1	0	1
líneas	line	0	0	0	0	1	0	1	0	1
retrógrado	step	1	1	1	1	1	0	1	0	1
aterrizaje	land	0	0	1	0	0	1	1	0	1
Federativa	separate	0	0	0	-1	0	1	1	-1	0
década	back	1	1	1	1	1	1	1	1	1
saliente	depart	1	0	1	-1	-1	1	1	0	0
comenten	comment	0	0	0	0	0	1	1	0	1
compuesta	make	0	0	0	1	0	0	1	0	0
revalorizarse	rise	1	1	0	1	0	1	1	0	0
acelerados	accelerate	0	0	0	1	0	1	0	0	0
prontamente	be	0	1	0	0	0	0	1	0	1
oficialidad	like	1	1	1	1	0	1	1	1	1
cerrado	close	0	1	1	0	0	1	1	0	1
inusual	function	0	1	0	1	1	1	1	0	0
significaran	make	0	0	0	1	0	0	1	0	0
ordenaron	order	0	0	0	-1	0	0	1	0	0
esforzaremos	work	1	1	1	1	0	1	1	0	1
share-holder-value	value	1	1	1	1	0	1	1	1	1
separadamente	separate	0	0	0	-1	0	1	1	-1	0
preludio	usher	0	0	0	1	0	1	1	0	1
fit	fit	0	0	1	1	0	1	1	0	1
saqueados	loot	0	-1	-1	-1	1	1	0	-1	1
presupuestos	fund	1	1	1	1	1	1	1	0	1
intercambiaron	exchange	0	0	1	0	1	0	1	0	0
constituyera	be	0	1	0	0	0	0	1	0	1
empecemos	start	1	1	1	1	1	1	1	0	1
costado	cost	0	-1	0	0	0	0	1	-1	0
empeorarse	control	1	0	1	0	1	1	1	0	1
jugadas	shoulder	0	0	0	0	0	1	1	0	1
llanas	think	0	0	1	1	1	1	1	1	0
fin	order	0	0	0	-1	0	0	1	0	0
desmontado	describe	0	0	0	1	0	0	1	0	1
productivas	produce	1	1	1	1	0	1	1	0	1
arrebatada	take	1	1	1	0	1	1	1	0	1
irresolutas	put	1	1	1	0	1	1	1	0	1
arrebatado	take	1	1	1	0	1	1	1	0	1
ostenta	hold	0	1	1	1	1	1	1	0	1
nigeriana	provide	1	1	1	1	1	1	1	0	1
ostente	be	0	1	0	0	0	0	1	0	1
imaginarían	put	1	1	1	0	1	1	1	0	1
prospecciones	major	0	1	0	0	1	1	1	0	1
extendiera	extend	0	1	1	1	1	1	1	0	1
instrumentalizar	exploit	0	-1	-1	-1	0	1	1	-1	0
distraigan	distract	0	-1	0	-1	0	1	0	-1	0
congruentes	be	0	1	0	0	0	0	1	0	1
observamos	see	1	1	1	1	1	1	1	0	1
evitásemos	avoid	-1	1	-1	0	1	-1	1	0	1
impidió	prevent	0	0	0	-1	0	1	1	-1	0
presupone	require	0	1	1	0	1	1	1	0	0
brindará	provide	1	1	1	1	1	1	1	0	1
acercamiento	approach	0	1	1	0	1	1	1	0	1
invitaríamos	invite	1	1	1	1	1	1	1	1	1
arroz	reform	1	1	0	1	0	1	1	0	1
13.30	end	0	1	0	0	1	0	1	0	0
votaríamos	vote	0	0	0	1	1	1	1	0	0
abultamiento	increase	1	1	0	1	0	1	1	0	1
39.	transcend	0	1	0	1	0	1	1	0	0
39-	inform	1	1	1	1	0	1	1	1	0
391	be	0	1	0	0	0	0	1	0	1
preteridos	notice	1	1	1	0	1	1	1	0	0
Anttila	like	1	1	1	1	0	1	1	1	1
avanzasen	move	0	0	0	1	0	1	1	0	0
absolver	acquit	0	0	0	1	0	1	1	1	1
virtuosos	do	1	1	1	0	0	1	1	0	1
inexperiencia	satisfy	1	1	0	1	0	1	1	1	1
luchábamos	fight	-1	0	-1	-1	0	0	1	0	-1
mataba	kill	0	-1	-1	-1	-1	1	0	-1	-1
cementera	cement	0	1	1	1	1	1	1	0	1
rodeo	route	0	0	0	0	0	1	1	0	0
desarraigando	do	1	1	1	0	0	1	1	0	1
unirá	join	1	1	1	1	1	1	1	1	1
afiliadas	affiliate	0	1	1	1	0	1	1	0	1
trompicones	stumble	0	-1	0	0	0	1	1	0	1
dejasen	be	0	1	0	0	0	0	1	0	1
uniré	join	1	1	1	1	1	1	1	1	1
suplicio	torment	-1	-1	-1	-1	0	1	0	-1	1
calibrando	emerge	1	1	0	0	0	1	1	0	1
goles	score	1	1	1	0	1	1	1	0	1
aprovecharlos	make	0	0	0	1	0	0	1	0	0
rozar	propose	0	1	1	1	0	0	1	0	1
ostentó	hold	0	1	1	1	1	1	1	0	1
estructurarlo	structure	1	1	0	1	1	1	1	0	0
beneficiosas	benefit	1	1	0	1	1	1	1	1	1
correcta	correct	0	0	0	1	0	1	1	0	0
escapase	escape	-1	0	-1	0	1	-1	1	0	1
triunfaban	do	1	1	1	0	0	1	1	0	1
temer–	be	0	1	0	0	0	0	1	0	1
violaban	violate	0	-1	-1	-1	0	1	0	0	-1
trasladarse	move	0	0	0	1	0	1	1	0	0
rozan	be	0	1	0	0	0	0	1	0	1
permanencia	remain	0	0	0	0	0	0	1	0	0
reagrupar	regroup	0	1	0	1	1	1	1	-1	1
competer	fall	0	0	0	-1	-1	0	1	0	-1
Jatami	push	0	0	-1	-1	0	1	1	-1	0
extinguieron	be	0	1	0	0	0	0	1	0	1
asegúrenos	assure	1	1	1	1	1	1	1	1	1
apuntarnos	score	1	1	1	0	1	1	1	0	1
adivinado	guess	0	1	1	0	0	1	1	0	0
brindara	give	0	1	1	0	0	0	1	0	1
neutrales	provide	1	1	1	1	1	1	1	0	1
recomendadas	recommend	1	1	1	1	1	1	1	1	1
Niger	time	0	0	1	0	1	0	1	0	1
congratulado	welcome	1	1	1	1	1	1	1	1	1
competen	be	0	1	0	0	0	0	1	0	1
reintroducen	reintroduce	0	0	1	1	1	1	1	0	1
ciñéndose	pursue	0	1	1	0	0	1	1	0	1
vigentes	exist	1	1	1	0	1	0	1	0	1
influyente	influence	0	0	0	0	0	1	1	0	0
expondrán	be	0	1	0	0	0	0	1	0	1
reatribución	process	0	0	1	1	1	1	1	0	0
equivalía	amount	0	0	0	1	0	0	1	0	0
leñadores	make	0	0	0	1	0	0	1	0	0
merme	undermine	0	-1	0	-1	0	1	0	0	0
plátanos	market	0	0	0	1	1	1	1	0	1
merma	undermine	0	-1	0	-1	0	1	0	0	0
ansioso	forward	1	1	0	1	1	1	1	0	1
prometimos	promise	1	1	1	1	1	1	1	0	1
triunfos	gain	1	1	1	1	1	1	1	0	1
he	have	1	1	1	0	0	1	1	0	1
acechan	face	0	0	0	0	1	1	1	0	1
pronunciándonos	take	1	1	1	0	1	1	1	0	1
constelación	picture	0	0	0	0	0	1	1	0	0
satisfagamos	meet	0	1	1	1	1	1	1	0	1
disgustado	upset	0	0	-1	-1	0	1	1	-1	0
organizase	see	1	1	1	1	1	1	1	0	1
encaminarnos	move	0	0	0	1	0	1	1	0	0
rechazando	reject	0	0	-1	-1	0	1	1	0	0
acechar	have	1	1	1	0	0	1	1	0	1
implantase	see	1	1	1	1	1	1	1	0	1
disgustada	disappoint	0	-1	0	-1	0	1	0	-1	-1
Centrales	prevent	0	0	0	-1	0	1	1	-1	0
preliminares	draft	1	1	1	1	1	1	1	0	1
impenetrables	be	0	1	0	0	0	0	1	0	1
Secchi	provide	1	1	1	1	1	1	1	0	1
proferimos	time	0	0	1	0	1	0	1	0	1
abrazado	embrace	1	1	1	1	1	1	1	1	1
empleasen	be	0	1	0	0	0	0	1	0	1
destruyera	destroy	0	-1	-1	-1	0	1	0	-1	0
fuero	do	1	1	1	0	0	1	1	0	1
visiblemente	clear	0	1	1	1	1	1	1	0	1
1997.	back	1	1	1	1	1	1	1	1	1
alimentados	be	0	1	0	0	0	0	1	0	1
Pastrana	take	1	1	1	0	1	1	1	0	1
27,2	be	0	1	0	0	0	0	1	0	1
comenzarían	start	1	1	1	1	1	1	1	0	1
obtendrán	be	0	1	0	0	0	0	1	0	1
cisterna	water	0	-1	0	-1	0	1	1	0	1
comprometamos	commit	-1	-1	0	0	-1	0	1	0	-1
repercutiendo	have	1	1	1	0	0	1	1	0	1
losa	burden	0	-1	-1	-1	-1	0	1	0	-1
estimularon	encourage	1	1	1	1	0	1	1	1	1
Alicante-	comment	0	0	0	0	0	1	1	0	1
frenesí	dampen	0	0	0	-1	0	1	0	0	0
oponemos	oppose	0	0	-1	-1	0	1	1	0	-1
motivadas	motivate	1	1	0	1	1	1	1	1	0
replegada	be	0	1	0	0	0	0	1	0	1
trincheras	position	0	0	0	1	0	1	1	0	0
trienal	down	0	0	0	0	0	0	1	0	0
cerciorado	make	0	0	0	1	0	0	1	0	0
contratistas	contract	-1	0	-1	0	-1	-1	1	0	-1
larguísimo	lie	0	0	0	0	0	1	1	0	0
extraordinarias-	work	1	1	1	1	0	1	1	0	1
encauzarse	be	0	1	0	0	0	0	1	0	1
replegado	retreat	0	0	-1	0	0	0	1	0	1
escapan	be	0	1	0	0	0	0	1	0	1
Retos	challenge	0	1	-1	-1	1	1	1	-1	0
desorbitados	feed	1	1	1	1	0	1	1	1	1
apoyemos	support	1	1	1	1	0	1	1	1	1
pacientes	suffer	-1	1	-1	0	-1	-1	1	0	-1
prohibirlas	ban	0	-1	-1	-1	0	1	1	0	0
disuadidos	dissuade	-1	0	-1	-1	0	1	0	-1	0
pasábamos	be	0	1	0	0	0	0	1	0	1
sitio	place	0	0	1	1	1	1	1	0	1
Fontaine	do	1	1	1	0	0	1	1	0	1
captan	be	0	1	0	0	0	0	1	0	1
propulsora	drive	1	1	0	1	0	1	1	0	1
desvinculación	distance	0	0	0	0	0	1	1	0	0
inseparables	hand	1	1	0	1	1	1	1	0	1
cortarse	be	0	1	0	0	0	0	1	0	1
sobrepasara	be	0	1	0	0	0	0	1	0	1
captar	attract	0	0	0	1	0	0	1	0	0
conceder	grant	0	0	1	1	0	1	1	0	1
Conocemos	know	1	1	1	0	1	1	1	0	1
denominaron	call	0	0	1	1	0	1	1	0	1
Oostende	fly	0	1	1	0	0	0	1	0	1
reglamentarlo	regulate	0	0	0	0	1	1	1	0	1
eternidad	age	0	0	0	-1	0	1	1	0	0
explicasen	explain	1	1	0	1	0	1	1	0	1
cúpula	head	1	0	1	1	1	1	1	0	1
chispas	spark	0	0	0	1	0	1	1	0	0
conceden	grant	0	0	1	1	0	1	1	0	1
recalentamiento	warm	1	1	0	1	0	1	1	1	0
agradecerles	thank	1	1	1	1	1	1	1	1	1
eximan	exempt	0	0	-1	-1	0	0	1	0	0
multimillonarios	try	0	1	1	0	1	1	1	0	0
socioeconómicos	account	0	0	0	0	0	1	1	0	0
vincularon	be	0	1	0	0	0	0	1	0	1
haría	make	0	0	0	1	0	0	1	0	0
desocupados	idle	0	0	0	-1	0	0	1	0	0
advirtieran	understand	1	1	1	1	1	1	1	0	1
patentados	handle	0	1	0	1	0	1	1	0	1
satisfaciendo	meet	0	1	1	1	1	1	1	0	1
pasaportes	travel	1	1	1	0	1	0	1	0	1
unificado	unify	1	1	0	1	1	1	1	0	0
representantes	represent	0	1	0	1	0	1	1	0	0
mostraron	show	1	1	1	0	1	0	1	0	0
unificada	unify	1	1	0	1	1	1	1	0	0
contenciosos	dispute	0	0	-1	-1	-1	1	1	0	-1
discriminando	discriminate	0	0	1	1	0	1	1	0	0
mediáticamente	term	1	1	0	1	1	1	0	0	0
permanecieran	remain	0	0	0	0	0	0	1	0	0
Cunha	further	1	1	1	1	0	1	1	0	1
última-	last	0	0	0	0	0	-1	-1	0	0
sueño-	dream	0	1	0	0	0	0	1	0	1
clausuran	close	0	1	1	0	0	1	1	0	1
cuantiosamente	be	0	1	0	0	0	0	1	0	1
vulneración	breach	0	-1	0	-1	0	1	1	-1	0
-supongo-	guess	0	1	1	0	0	1	1	0	0
cobradas	levy	1	0	1	1	1	0	1	0	1
competidora	rival	1	1	1	1	1	1	1	1	1
rico	pack	1	1	1	0	1	1	1	0	1
eliminarla	phase	0	0	0	1	1	0	1	0	0
fosa	mass	0	0	0	1	0	0	1	0	0
protegía	protect	1	1	1	1	0	1	1	1	1
adjudicados	award	1	1	1	1	0	1	1	0	1
adjudicador	contract	-1	0	-1	0	-1	-1	1	0	-1
eliminarlo	eliminate	-1	1	-1	-1	1	-1	1	0	0
rocambolesca	be	0	1	0	0	0	0	1	0	1
clausurar	close	0	1	1	0	0	1	1	0	1
Panchen	be	0	1	0	0	0	0	1	0	1
plata	term	1	1	0	1	1	1	0	0	0
últimas	last	0	0	0	0	0	-1	-1	0	0
plato	bowl	0	0	0	-1	0	1	1	0	1
discutíamos	discuss	1	1	0	1	1	1	1	0	1
predisposición	incline	0	0	0	0	0	1	1	0	0
inflexibilidad	try	0	1	1	0	1	1	1	0	0
levantarán	be	0	1	0	0	0	0	1	0	1
perseverando	pursue	0	1	1	0	0	1	1	0	1
antibloqueo	represent	0	1	0	1	0	1	1	0	0
Dybkjær	do	1	1	1	0	0	1	1	0	1
uniformemente	deal	0	0	0	0	0	0	0	0	0
policial	police	0	0	0	-1	0	1	1	0	0
obstruidas	obstruct	0	0	-1	-1	0	1	0	0	0
adoptarlos	adopt	1	1	1	1	1	1	1	0	1
compras	purchase	1	1	1	1	1	1	0	0	1
emulando	follow	0	0	1	1	1	1	1	0	1
transmitirlos	pass	0	1	0	0	0	1	1	0	0
empeora	be	0	1	0	0	0	0	1	0	1
gestionarse	be	0	1	0	0	0	0	1	0	1
murmullo	raise	0	0	1	1	0	0	1	0	1
empeore	worsen	-1	-1	0	-1	0	1	-1	0	0
hubiéramos	have	1	1	1	0	0	1	1	0	1
abordadas	deal	0	0	0	0	0	0	0	0	0
desarmadas	be	0	1	0	0	0	0	1	0	1
traduciéndose	result	0	0	0	0	1	0	1	0	0
sueños	dream	0	1	0	0	0	0	1	0	1
carezca	lack	0	0	0	0	-1	1	1	0	-1
vivirían	live	1	1	1	1	1	1	1	0	1
ahorran	save	1	1	1	1	0	1	1	1	1
deshidratadas	dry	1	0	0	0	0	1	1	0	0
carezco	have	1	1	1	0	0	1	1	0	1
revende	provide	1	1	1	1	1	1	1	0	1
anunciarles	announce	1	1	1	1	1	1	1	0	1
ahorrar	save	1	1	1	1	0	1	1	1	1
retrasadas	lag	0	-1	0	-1	0	0	0	0	0
musicales	sound	1	0	0	1	0	1	0	0	0
PULL	pull	0	0	0	0	0	0	1	0	0
recordarlo-	remind	1	1	1	1	0	1	1	0	0
delante-	draw	0	0	1	1	1	1	0	0	0
cordones	cordon	0	0	1	1	0	1	1	0	0
conmemoramos	commemorate	1	1	1	1	1	1	1	1	0
confunde	confuse	0	0	0	-1	0	1	1	-1	0
acompañaban	accompany	1	1	1	1	1	1	1	1	1
ira	anger	0	-1	0	-1	0	1	0	-1	0
nuestro	own	0	1	1	1	1	1	1	0	1
lote	set	0	0	1	1	1	1	1	0	1
derrite	melt	0	-1	0	-1	0	0	-1	0	0
reemplazarlo	replace	0	1	0	0	1	1	1	0	1
reemplazarla	replace	0	1	0	0	1	1	1	0	1
rascarse	dig	0	0	0	0	0	0	1	0	0
desenlace	end	0	1	0	0	1	0	1	0	0
Parmalat	account	0	0	0	0	0	1	1	0	0
financiaría	be	0	1	0	0	0	0	1	0	1
concluyeran	conclude	1	1	1	1	0	1	1	0	1
extienden	spread	-1	-1	0	1	0	-1	1	0	0
cuestionadas	question	0	0	1	1	1	1	1	0	1
imponente	impose	0	0	1	1	1	0	1	0	1
encauce	track	-1	1	-1	-1	1	1	1	-1	1
encajan	fit	0	0	1	1	0	1	1	0	1
cifran	estimate	1	1	1	0	0	1	1	0	1
indicación	mark	0	1	0	0	0	1	1	0	0
mostremos	show	1	1	1	0	1	0	1	0	0
desarrollarnos	develop	0	1	0	1	0	0	1	0	0
Fachkraft	make	0	0	0	1	0	0	1	0	0
avergonzar	embarrass	0	-1	0	-1	0	1	0	-1	0
china	be	0	1	0	0	0	0	1	0	1
encajar	fit	0	0	1	1	0	1	1	0	1
horticultores	market	0	0	0	1	1	1	1	0	1
recordarlos	remember	1	1	1	1	1	1	1	1	1
puñado	grip	0	0	0	0	0	1	1	0	0
colaboración	work	1	1	1	1	0	1	1	0	1
cuadrados	square	0	0	0	0	0	1	1	0	0
utilizasen	be	0	1	0	0	0	0	1	0	1
remolque	lag	0	-1	0	-1	0	0	0	0	0
felicidad	wish	1	1	1	1	1	1	1	1	1
acuña	stone	0	0	0	-1	0	1	1	0	1
apostaban	be	0	1	0	0	0	0	1	0	1
guarida	spring	1	1	1	1	1	1	1	0	1
estrategia	approach	0	1	1	0	1	1	1	0	1
escalada	escalate	0	-1	0	-1	0	0	1	0	0
desaforada	feel	1	1	1	0	0	0	1	0	1
pagaran	pay	0	0	-1	0	0	-1	1	0	-1
barridas	sweep	1	0	0	0	0	1	1	0	0
colchón	do	1	1	1	0	0	1	1	0	1
pastoreo	graze	0	-1	1	0	0	1	1	0	1
aceptación	accept	1	1	1	1	1	1	1	0	1
.	have	1	1	1	0	0	1	1	0	1
