sv Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
mötas	meet	0	1	1	1	1	1	1	0	1
kostnadsnivåerna	level	0	1	1	1	1	0	1	0	1
genomsnittspriser	average	0	1	0	0	0	1	1	0	1
landsförvisade	exile	0	0	-1	-1	0	1	1	-1	0
enpartistaten	state	0	1	1	1	0	1	1	0	0
ovälkommen	draw	0	0	1	1	1	1	0	0	0
reflektion	think	0	0	1	1	1	1	1	1	0
rationaliseringsåtgärderna	measure	0	1	0	0	0	0	1	0	1
B4-3400	annul	0	0	-1	-1	0	1	1	0	1
Tomlinsonbetänkandet	report	0	0	-1	1	0	0	1	0	-1
flygsäkerheten	air	0	0	0	-1	0	1	0	0	0
omvärdering	rethink	0	1	0	1	-1	1	1	0	-1
misstänkte	suspect	-1	0	-1	0	-1	-1	1	0	-1
budgetbestämmelserna	rule	1	1	1	1	1	1	1	0	1
kringåtgärder	measure	0	1	0	0	0	0	1	0	1
misstänkta	suspect	-1	0	-1	0	-1	-1	1	0	-1
förskingringar	blind	0	0	-1	-1	0	1	1	0	0
Mauritius	set	0	0	1	1	1	1	1	0	1
paradigmskifte	shift	0	0	0	0	1	0	1	0	0
användbarheten	make	0	0	0	1	0	0	1	0	0
skiljevägg	market	0	0	0	1	1	1	1	0	1
Dohaförklaringen	quote	1	1	1	1	1	1	1	0	0
naturen	land	0	0	1	0	0	1	1	0	1
bekvämligheter	comfort	1	1	1	1	0	1	1	1	1
skogsindustrin	exclude	0	0	-1	-1	0	1	1	0	0
förövats	perpetrate	0	0	-1	-1	0	1	1	0	1
djurfoderindustrin	feed	1	1	1	1	0	1	1	1	1
nomader	like	1	1	1	1	0	1	1	1	1
mobiliserade	do	1	1	1	0	0	1	1	0	1
framförhandlats	negotiate	1	1	1	1	1	1	1	0	1
invånarantal	number	0	0	0	1	0	0	1	0	0
importregler	import	0	0	0	1	1	1	1	0	1
tolererad	tolerate	-1	0	-1	1	0	1	1	0	-1
livsprojekt	have	1	1	1	0	0	1	1	0	1
ämbetsutövning	govern	1	1	1	1	1	1	1	0	1
videosekvenser	go	0	0	0	0	0	0	1	0	0
anläggningar	plant	1	1	1	1	1	1	1	0	1
arbetsmiljöstrategi	work	1	1	1	1	0	1	1	0	1
västerländsk	be	0	1	0	0	0	0	1	0	1
cirkusföreträdare	issue	0	0	0	1	0	1	1	0	0
återsända	return	0	0	0	0	0	1	1	0	0
strålbehandla	point	0	0	0	0	1	0	1	0	0
uteslutet	question	0	0	1	1	1	1	1	0	1
fastighetspriserna	price	0	0	1	1	1	0	1	0	1
rekordnoteringen	state	0	1	1	1	0	1	1	0	0
kvalitativ	change	0	1	0	1	0	1	1	0	1
arbets-	work	1	1	1	1	0	1	1	0	1
kodifierar	codify	0	1	1	1	1	1	1	0	1
lapptäcket	try	0	1	1	0	1	1	1	0	0
biometriska	include	1	1	1	1	1	1	1	1	0
hotbrev	threaten	0	-1	-1	-1	0	1	1	-1	-1
hårdast	hit	0	-1	-1	-1	0	1	0	-1	0
skrämdes	be	0	1	0	0	0	0	1	0	1
sponsorerna	sponsor	1	1	1	1	1	1	1	0	1
bestraffningssystem	be	0	1	0	0	0	0	1	0	1
övertygelsen	convince	1	0	0	1	0	1	1	0	1
tungroddheten	burden	0	-1	-1	-1	-1	0	1	0	-1
önskvärt	be	0	1	0	0	0	0	1	0	1
succéhistoria	study	1	0	1	1	1	1	1	0	1
Anastassopoulos	lead	0	1	1	1	1	0	1	0	1
kreditsäkerheter	credit	1	0	1	1	1	1	1	1	1
elastiska	blow	0	0	0	0	0	0	1	0	0
avstannade	stall	0	0	0	-1	1	1	1	0	0
förödelse	damage	1	-1	0	-1	0	1	-1	-1	0
överstat	process	0	0	1	1	1	1	1	0	0
överstar	question	0	0	1	1	1	1	1	0	1
UNITA	transcend	0	1	0	1	0	1	1	0	0
lärarkåren	teach	0	1	1	1	1	1	1	0	1
överreagera	overreact	0	0	0	-1	0	1	1	0	0
hälsofara	risk	-1	0	-1	0	-1	0	1	0	-1
Hieronymibetänkandet	report	0	0	-1	1	0	0	1	0	-1
budgivning	bid	0	0	1	0	1	1	1	0	1
avreglera	open	1	1	1	1	0	0	1	0	1
kapitel-2-flygplan	fly	0	1	1	0	0	0	1	0	1
omfånget	scale	0	0	0	0	0	0	1	0	0
ingång	point	0	0	0	0	1	0	1	0	0
rustningspolitik	arm	0	0	0	-1	0	1	0	-1	0
reproduktivt	forward	1	1	0	1	1	1	1	0	1
resultatgranskningen	review	0	0	0	1	0	1	1	0	0
parera	give	0	1	1	0	0	0	1	0	1
masterkurs	master	0	1	0	1	1	1	1	0	1
slutligen	end	0	1	0	0	1	0	1	0	0
miljömärke	label	0	0	0	0	0	1	0	0	0
förkastligt	be	0	1	0	0	0	0	1	0	1
rodna	embarrass	0	-1	0	-1	0	1	0	-1	0
rigorösare	apply	0	1	1	1	1	1	1	0	1
riskvilligt	venture	0	0	1	0	1	1	1	0	1
Sainjon	amplify	0	0	0	0	0	1	1	0	0
intakt	remain	0	0	0	0	0	0	1	0	0
locket	issue	0	0	0	1	0	1	1	0	0
jämställdhetsproblem	replace	0	1	0	0	1	1	1	0	1
ofta	be	0	1	0	0	0	0	1	0	1
parlamentsdebatterna	debate	0	1	0	1	1	1	1	0	0
sidst	do	1	1	1	0	0	1	1	0	1
förkastliga	condemn	0	0	-1	-1	0	1	1	0	0
rapportörer	cover	0	0	0	1	1	1	1	0	0
BRIK-länder	put	1	1	1	0	1	1	1	0	1
avancerad	advance	0	1	1	1	1	0	1	0	1
ratificerade	ratify	1	1	1	1	1	1	1	0	1
uppdragsgivare	contract	-1	0	-1	0	-1	-1	1	0	-1
skuldkvittning	clear	0	1	1	1	1	1	1	0	1
prioriterar	give	0	1	1	0	0	0	1	0	1
prioriteras	be	0	1	0	0	0	0	1	0	1
kostnad	cost	0	-1	0	0	0	0	1	-1	0
prioriterat	give	0	1	1	0	0	0	1	0	1
avancerat	advance	0	1	1	1	1	0	1	0	1
okonstitutionell	form	1	1	1	1	1	1	1	0	1
tvärsöver	bridge	0	0	0	1	0	1	1	0	1
urmodigt	stone	0	0	0	-1	0	1	1	0	1
avancerar	be	0	1	0	0	0	0	1	0	1
löntagare	wage	0	1	1	1	1	1	1	0	1
kolonner	age	0	0	0	-1	0	1	1	0	0
tryckpressar	print	1	0	1	0	1	0	1	0	1
Elliott	give	0	1	1	0	0	0	1	0	1
prioriterad	matter	0	0	0	-1	0	1	1	0	0
avhållsamhet	comment	0	0	0	0	0	1	1	0	1
smugglingen	smuggle	0	0	-1	-1	1	1	0	-1	1
militäraktioner	end	0	1	0	0	1	0	1	0	0
sprungit	run	0	1	1	1	1	1	1	0	1
utvinner	extract	0	0	0	0	1	1	1	0	1
förutsättningslöst	open	1	1	1	1	0	0	1	0	1
traven	do	1	1	1	0	0	1	1	0	1
bredda	broaden	1	0	0	1	0	1	1	0	0
EU-stöd	aid	1	1	1	1	0	1	1	1	1
jordbruksstöd	aid	1	1	1	1	0	1	1	1	1
sockerordningen	buck	0	0	-1	0	0	1	1	0	1
LV	meet	0	1	1	1	1	1	1	0	1
biståndsleveranserna	aid	1	1	1	1	0	1	1	1	1
kummeln	submit	0	0	1	1	0	1	1	0	0
arbetsrelation	work	1	1	1	1	0	1	1	0	1
waterschap	provide	1	1	1	1	1	1	1	0	1
luftsäkerhetsfrågor	air	0	0	0	-1	0	1	0	0	0
transportinfrastruktur	transport	0	1	0	1	1	1	1	0	0
åtföljde	accompany	1	1	1	1	1	1	1	1	1
enhällighet	vote	0	0	0	1	1	1	1	0	0
förskjutningen	shift	0	0	0	0	1	0	1	0	0
skakades	shake	0	0	0	0	0	0	1	0	-1
vägkostnaderna	cost	0	-1	0	0	0	0	1	-1	0
bifloder	be	0	1	0	0	0	0	1	0	1
hörselskador	hear	0	1	0	0	1	1	1	0	0
praktikens	propose	0	1	1	1	0	0	1	0	1
otänkbara	form	1	1	1	1	1	1	1	0	1
korrigering	correct	0	0	0	1	0	1	1	0	0
upptas	be	0	1	0	0	0	0	1	0	1
sedd	see	1	1	1	1	1	1	1	0	1
gemenskapsmål	target	0	0	0	1	0	0	0	0	0
avrundas	round	0	0	0	0	1	0	1	0	0
avrundar	finish	1	1	1	1	1	1	1	0	1
Ö	aid	1	1	1	1	0	1	1	1	1
debiteras	charge	-1	0	0	-1	1	1	1	-1	1
positionsbestämningssystem	position	0	0	0	1	0	1	1	0	0
benmjöl	feed	1	1	1	1	0	1	1	1	1
Gutiérrez-Díaz	propose	0	1	1	1	0	0	1	0	1
avhandlats	be	0	1	0	0	0	0	1	0	1
tulltekniker	die	0	1	0	-1	-1	1	1	0	-1
dristade	dare	1	1	1	0	1	1	1	0	1
skiljelinjerna	line	0	0	0	0	1	0	1	0	1
Almadén-området	impose	0	0	1	1	1	0	1	0	1
djurskyddsfrågor	issue	0	0	0	1	0	1	1	0	0
ordförandehalvår	forward	1	1	0	1	1	1	1	0	1
EU-integrationen	process	0	0	1	1	1	1	1	0	0
ensamrätt	power	1	0	0	0	0	0	1	0	1
maffialiknande	have	1	1	1	0	0	1	1	0	1
inväntar	await	0	0	0	0	1	1	1	0	0
förklarade	explain	1	1	0	1	0	1	1	0	1
uppfylls	be	0	1	0	0	0	0	1	0	1
elektronikavfall	waste	0	-1	0	-1	-1	1	1	0	-1
momssystemen	relate	0	1	1	1	0	1	1	0	1
utbildningsprojekt	project	0	0	1	1	1	1	1	0	1
datorsystemet	introduce	1	1	1	1	1	1	1	1	1
vidmakthållandet	preserve	1	1	1	1	0	1	1	0	1
Bukarest	do	1	1	1	0	0	1	1	0	1
energiskatterna	tax	0	0	1	1	1	0	1	0	1
nödlandade	carry	0	1	1	0	0	1	1	0	0
jordbävningsoffer	be	0	1	0	0	0	0	1	0	1
Schengengränsen	border	0	0	0	0	0	0	0	0	0
strykpojke	whip	0	0	0	-1	0	1	1	-1	1
varannan	couple	0	0	0	1	0	0	1	0	0
u-ländernas	develop	0	1	0	1	0	0	1	0	0
städa	clean	0	1	1	1	0	0	1	0	1
avståendena	be	0	1	0	0	0	0	1	0	1
lagenligheten	review	0	0	0	1	0	1	1	0	0
belönades	reward	1	1	1	1	0	1	1	1	1
biltillverkarens	disclose	0	0	0	0	0	1	1	0	0
stödinfrastruktur	support	1	1	1	1	0	1	1	1	1
hivsmittade	infect	1	-1	0	-1	0	1	0	-1	-1
alienera	alienate	1	-1	0	-1	0	1	0	-1	1
knåpar	own	0	1	1	1	1	1	1	0	1
erfordliga	word	0	1	0	0	0	0	1	0	0
frihandelszoner	free	1	1	1	1	1	1	1	1	1
forskningsagenda	research	0	-1	1	1	1	1	1	0	1
fit	fit	0	0	1	1	0	1	1	0	1
inlärningsprocessens	process	0	0	1	1	1	1	1	0	0
vännen	force	0	0	0	-1	0	1	0	-1	0
Mastorakisbetänkandet	report	0	0	-1	1	0	0	1	0	-1
utmätts	be	0	1	0	0	0	0	1	0	1
vattenkanneprincipen	approach	0	1	1	0	1	1	1	0	1
skärmmössor	let	0	0	0	1	-1	0	1	0	0
bedömningarna	estimate	1	1	1	0	0	1	1	0	1
vilo-	rest	1	1	1	1	1	1	1	0	1
nutida	present	1	1	1	1	1	1	1	0	1
Maastrichtavtalet	finance	1	1	1	1	1	1	1	0	1
Hyogo-handlingsplanen	be	0	1	0	0	0	0	1	0	1
småpotatis	talk	0	0	0	0	0	1	1	0	0
sköljts	wash	0	1	1	1	0	1	1	0	1
körupplevelsen	consider	1	1	1	1	1	1	1	0	1
fin	fine	0	1	1	1	1	1	1	1	1
makronivå	level	0	1	1	1	1	0	1	0	1
fil	file	0	1	0	0	0	1	1	0	0
frihandelszonen	free	1	1	1	1	1	1	1	1	1
brandskadorna	blow	0	0	0	0	0	0	1	0	0
vätskestrejk	strike	1	1	0	0	0	1	1	0	0
räddningsaktioner	rescue	1	1	1	1	1	1	1	1	1
förgiftades	poison	0	-1	-1	-1	0	1	0	-1	1
ankom	be	0	1	0	0	0	0	1	0	1
fackförbundens	trade	0	1	1	1	1	1	1	0	1
turisthandel	trade	0	1	1	1	1	1	1	0	1
skräckslagna	terrify	0	-1	0	-1	0	1	0	-1	0
Libero	be	0	1	0	0	0	0	1	0	1
interimstyrka	force	0	0	0	-1	0	1	0	-1	0
entreprenör	draw	0	0	1	1	1	1	0	0	0
Cots	give	0	1	1	0	0	0	1	0	1
flyktingmottagandet	receive	1	1	1	0	1	1	1	0	1
ankor	duck	0	-1	1	0	0	1	1	0	1
eskortera	escort	0	0	0	1	0	1	1	1	0
sova	sleep	0	1	0	0	1	1	1	0	1
konvergenskriterier	do	1	1	1	0	0	1	1	0	1
Birzeit	bring	0	0	1	1	0	0	1	0	0
betalningsöverföringen	transfer	0	0	0	0	0	1	1	0	0
uppskjuter	postpone	0	0	0	-1	0	1	1	0	0
livstidsstraff	sentence	-1	1	-1	-1	0	1	1	-1	0
tyder	indicate	0	0	0	1	0	1	1	0	0
insisterade	insist	0	0	1	0	0	1	1	0	1
julen	come	0	1	0	0	0	0	1	0	0
stammar	strain	0	0	0	-1	0	1	1	-1	-1
läroplanen	age	0	0	0	-1	0	1	1	0	0
terrorister	stop	0	0	0	-1	1	1	1	-1	0
järnvägstransporternas	transport	0	1	0	1	1	1	1	0	0
militärstyrkornas	be	0	1	0	0	0	0	1	0	1
rutterna	route	0	0	0	0	0	1	1	0	0
katten	beat	0	-1	-1	-1	0	1	1	-1	0
telekom	provide	1	1	1	1	1	1	1	0	1
frigivits	be	0	1	0	0	0	0	1	0	1
terroristen	receive	1	1	1	0	1	1	1	0	1
inbördeskrigets	resolve	-1	1	0	0	1	-1	1	0	1
därefter	follow	0	0	1	1	1	1	1	0	1
utsmyckade	punctuate	1	1	1	1	1	1	1	0	1
frodas	thrive	0	1	1	1	1	1	1	0	1
likväl	do	1	1	1	0	0	1	1	0	1
kläcks	be	0	1	0	0	0	0	1	0	1
myntens	coin	0	0	0	0	1	1	1	0	1
transportvalet	be	0	1	0	0	0	0	1	0	1
internaliseringen	represent	0	1	0	1	0	1	1	0	0
resefrihet	travel	1	1	1	0	1	0	1	0	1
SLIM-projektet	project	0	0	1	1	1	1	1	0	1
funktionsområde	do	1	1	1	0	0	1	1	0	1
välkomnandet	welcome	1	1	1	1	1	1	1	1	1
allas	share	1	1	1	0	1	1	1	0	1
390	sum	0	0	0	1	0	1	1	0	0
drickvatten	drink	0	0	1	0	1	0	1	0	1
televisionens	include	1	1	1	1	1	1	1	1	0
förhandskraven	place	0	0	1	1	1	1	1	0	1
manövrarna	be	0	1	0	0	0	0	1	0	1
kärnkraftsanläggningarna	power	1	0	0	0	0	0	1	0	1
Hollywood	avoid	-1	1	-1	0	1	-1	1	0	1
fantastisk	amaze	0	-1	0	-1	0	1	0	-1	0
globaliserat	tighten	0	0	0	0	0	1	1	0	0
globaliseras	be	0	1	0	0	0	0	1	0	1
utsläppsminskningar	cut	0	0	0	-1	0	0	1	0	0
cementera	perpetuate	1	1	1	1	1	1	1	0	1
Cavada	respond	0	1	0	0	0	1	1	0	1
socialskydd	safeguard	1	1	0	1	0	1	1	1	1
biståndsvolym	provide	1	1	1	1	1	1	1	0	1
metallindustrin	iron	0	0	0	-1	0	1	-1	0	0
hjälpa	help	1	1	0	1	0	1	1	1	0
nollbeskattning	rate	0	1	0	1	0	0	1	0	0
globaliserad	age	0	0	0	-1	0	1	1	0	0
ersättningsanspråken	claim	1	1	1	0	1	1	1	0	1
fångstmetoderna	trap	0	0	0	-1	0	0	0	-1	0
kapacitetsbyggande	build	1	1	1	1	1	1	1	0	1
motljus	back	1	1	1	1	1	1	1	1	1
kandiderande	accord	1	0	0	1	0	1	1	0	1
femtonde	regard	1	1	1	1	1	1	1	1	1
sågs	see	1	1	1	1	1	1	1	0	1
livsrummet	win	1	1	1	1	1	1	1	0	1
resevillkor	travel	1	1	1	0	1	0	1	0	1
såtts	be	0	1	0	0	0	0	1	0	1
moralsyn	view	0	0	0	1	0	1	1	0	0
Interregprogrammen	own	0	1	1	1	1	1	1	0	1
syn	view	0	0	0	1	0	1	1	0	0
helgonförklara	consult	1	1	1	1	1	1	1	1	1
uppnåendet	achieve	1	1	1	1	1	1	1	0	1
demokratilektioner	be	0	1	0	0	0	0	1	0	1
G7-mötet	meet	0	1	1	1	1	1	1	0	1
uttömts	be	0	1	0	0	0	0	1	0	1
överskottskapacitet	die	0	1	0	-1	-1	1	1	0	-1
reparations-	repair	0	1	0	1	1	1	1	0	1
föröddes	be	0	1	0	0	0	0	1	0	1
absorptionskvoter	rate	0	1	0	1	0	0	1	0	0
förtryckare	perpetrate	0	0	-1	-1	0	1	1	0	1
katastrofåtgärder	measure	0	1	0	0	0	0	1	0	1
tobaksstödet	aid	1	1	1	1	0	1	1	1	1
transportutskottet	transport	0	1	0	1	1	1	1	0	0
beskattningsmetoder	tax	0	0	1	1	1	0	1	0	1
COMMPS-förfarandet	cover	0	0	0	1	1	1	1	0	0
övermodiga	go	0	0	0	0	0	0	1	0	0
förarbetena	work	1	1	1	1	0	1	1	0	1
Beysen	work	1	1	1	1	0	1	1	0	1
gränsstationer	border	0	0	0	0	0	0	0	0	0
handelsländer	trade	0	1	1	1	1	1	1	0	1
normalisera	return	0	0	0	0	0	1	1	0	0
hygienåtgärder	measure	0	1	0	0	0	0	1	0	1
slutande	conclude	1	1	1	1	0	1	1	0	1
övermodigt	prompt	1	1	1	1	1	1	1	1	1
avbildas	depict	0	0	0	1	0	1	1	0	0
flyttande	issue	0	0	0	1	0	1	1	0	0
sjukvårdssystemens	do	1	1	1	0	0	1	1	0	1
gruppledarna	group	0	0	0	1	1	0	1	0	1
landområden	land	0	0	1	0	0	1	1	0	1
livsmedelsföroreningar	be	0	1	0	0	0	0	1	0	1
Oomen	comment	0	0	0	0	0	1	1	0	1
reformplanen	reform	1	1	0	1	0	1	1	0	1
zigenare	account	0	0	0	0	0	1	1	0	0
Lamfalussyförfarandena	be	0	1	0	0	0	0	1	0	1
handelsministrar	trade	0	1	1	1	1	1	1	0	1
landområdet	land	0	0	1	0	0	1	1	0	1
bullerstörningar	term	1	1	0	1	1	1	0	0	0
grekisk-turkiska	do	1	1	1	0	0	1	1	0	1
forskningsbudgeten	research	0	-1	1	1	1	1	1	0	1
energimässig	put	1	1	1	0	1	1	1	0	1
uppgiftsutbytet	exchange	0	0	1	0	1	0	1	0	0
kuppregim	power	1	0	0	0	0	0	1	0	1
båtresor	ferry	0	0	0	1	1	1	0	-1	1
muntlig	word	0	1	0	0	0	0	1	0	0
undgått	notice	1	1	1	0	1	1	1	0	0
utgiftsförslag	spend	0	1	0	0	0	0	1	0	0
service	provide	1	1	1	1	1	1	1	0	1
ogiltiga	spoil	0	-1	0	-1	-1	1	0	-1	-1
fortleva	survive	-1	1	-1	0	1	-1	1	0	1
förbränningsanläggningar	plant	1	1	1	1	1	1	1	0	1
närboende	live	1	1	1	1	1	1	1	0	1
belastningsregistret	record	1	1	1	1	1	1	1	0	1
lydelse	stand	0	1	1	0	1	0	1	0	0
miljöredovisningen	be	0	1	0	0	0	0	1	0	1
ogiltigt	lapse	0	0	0	0	0	0	1	0	1
Secchi	present	1	1	1	1	1	1	1	0	1
Hammerstein	do	1	1	1	0	0	1	1	0	1
aktsamma	devote	1	1	1	1	0	1	1	0	1
genomskåda	see	1	1	1	1	1	1	1	0	1
begärde	request	0	0	1	0	1	1	1	0	1
noll	scratch	0	0	1	0	1	1	1	0	1
rymdprojekt	project	0	0	1	1	1	1	1	0	1
fiskodling	farm	0	1	1	1	1	1	1	0	1
rättssamhället	rule	1	1	1	1	1	1	1	0	1
negligera	ignore	0	-1	-1	-1	0	1	0	-1	0
polisbeslut	control	1	0	1	0	1	1	1	0	1
frågelistan	question	0	0	1	1	1	1	1	0	1
konsumtionsmönster	model	0	0	0	1	1	1	1	0	1
legitimera	legitimize	1	1	1	1	0	1	1	-1	1
handlingskraftig	act	0	0	0	0	0	0	1	0	0
styrelseform	form	1	1	1	1	1	1	1	0	1
omöjligheten	be	0	1	0	0	0	0	1	0	1
formulerade	formulate	1	1	1	1	1	1	1	0	1
handikappfrågor	issue	0	0	0	1	0	1	1	0	0
yrkeskategori	trade	0	1	1	1	1	1	1	0	1
prioriteringsbehov	need	0	1	1	0	0	1	1	0	0
0-10	divide	0	-1	0	-1	0	1	0	-1	0
vågornas	wave	0	0	0	1	0	1	1	0	0
tyckte	think	0	0	1	1	1	1	1	1	0
sederna	practice	0	0	1	1	0	0	1	0	0
förlikningsmötet	meet	0	1	1	1	1	1	1	0	1
höra	hear	0	1	0	0	1	1	1	0	0
regulator	be	0	1	0	0	0	0	1	0	1
varje	single	0	0	0	-1	0	0	1	0	0
nära-nollenergibyggnader	house	1	1	0	1	1	1	1	1	1
löneökningar	wage	0	1	1	1	1	1	1	0	1
avvecklingsåtgärder	measure	0	1	0	0	0	0	1	0	1
återvänd	return	0	0	0	0	0	1	1	0	0
inlämnats	be	0	1	0	0	0	0	1	0	1
visats	be	0	1	0	0	0	0	1	0	1
markytan	surface	0	0	0	1	0	1	-1	0	0
skämdes	be	0	1	0	0	0	0	1	0	1
Ärade	answer	0	1	0	1	0	0	1	0	0
Őry	work	1	1	1	1	0	1	1	0	1
smugits	be	0	1	0	0	0	0	1	0	1
tyckts	seem	0	0	0	0	0	-1	0	0	0
