pt Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
linho	continue	1	1	1	1	1	0	1	0	1
administrativos	tape	0	0	0	0	0	1	1	0	0
reembolsados	reimburse	1	1	1	1	1	1	1	0	1
subtrair-se	escape	-1	0	-1	0	1	-1	1	0	1
erguemos	raise	0	0	1	1	0	0	1	0	1
sobredeclarações	claim	1	1	1	0	1	1	1	0	1
linha	line	0	0	0	0	1	0	1	0	1
promovemos	promote	1	1	1	1	1	1	1	0	1
sobrecarreguemos	let	0	0	0	1	-1	0	1	0	0
contrapus	count	0	0	1	1	1	1	1	0	1
redobraram	control	1	0	1	0	1	1	1	0	1
Muro	come	0	1	0	0	0	0	1	0	0
penalizando	have	1	1	1	0	0	1	1	0	1
acertar	settle	0	1	0	1	1	1	1	0	1
Consumo	drink	0	0	1	0	1	0	1	0	1
sobressai	be	0	1	0	0	0	0	1	0	1
excedentárias	exist	1	1	1	0	1	0	1	0	1
estendendo-o	extend	0	1	1	1	1	1	1	0	1
controversa	dispute	0	0	-1	-1	-1	1	1	0	-1
controverso	dispute	0	0	-1	-1	-1	1	1	0	-1
lucrado	profit	1	0	1	0	1	1	1	0	1
antídotos	equip	1	1	1	1	1	1	1	1	1
apercebi	see	1	1	1	1	1	1	1	0	1
Dexter	move	0	0	0	1	0	1	1	0	0
admito	admit	0	0	0	1	0	1	1	0	0
apercebo	see	1	1	1	1	1	1	1	0	1
aperceba	notice	1	1	1	0	1	1	1	0	0
apercebe	see	1	1	1	1	1	1	1	0	1
parecendo-me	appear	1	0	1	0	0	1	1	0	1
começaremos	start	1	1	1	1	1	1	1	0	1
51.º	be	0	1	0	0	0	0	1	0	1
herdámos	inherit	1	1	1	0	1	1	1	0	1
anti-democráticas	judge	0	0	-1	-1	1	1	1	-1	0
cindir	split	1	0	1	-1	0	1	1	-1	1
questionando	question	0	0	1	1	1	1	1	0	1
justificam-se	be	0	1	0	0	0	0	1	0	1
instituíssem	establish	0	0	1	1	1	1	1	1	1
fura-greves	facilitate	1	1	0	1	0	1	1	0	0
terminologia	term	1	1	0	1	1	1	0	0	0
empenhamo-nos	be	0	1	0	0	0	0	1	0	1
Karadzic	secure	0	0	1	1	1	1	1	0	1
alívio	relieve	0	1	0	1	1	0	1	1	1
insistiam	insist	0	0	1	0	0	1	1	0	1
proveitosa	benefit	1	1	0	1	1	1	1	1	1
proveitoso	benefit	1	1	0	1	1	1	1	1	1
concentrarão	focus	1	1	1	1	0	1	1	0	1
Anastassopoulos	head	1	0	1	1	1	1	1	0	1
correlativamente	be	0	1	0	0	0	0	1	0	1
aprendiz	term	1	1	0	1	1	1	0	0	0
posteriormente	date	0	0	1	0	1	0	1	0	1
contínua	continue	1	1	1	1	1	0	1	0	1
mexer	move	0	0	0	1	0	1	1	0	0
alinhamentos	force	0	0	0	-1	0	1	0	-1	0
mexeu	do	1	1	1	0	0	1	1	0	1
intensificá-los	be	0	1	0	0	0	0	1	0	1
evidência	highlight	1	1	1	1	0	1	1	0	1
construí-lo	build	1	1	1	1	1	1	1	0	1
mexem	deal	0	0	0	0	0	0	0	0	0
parágrafo	sentence	-1	1	-1	-1	0	1	1	-1	0
inteirarem	see	1	1	1	1	1	1	1	0	1
destruiu	destroy	0	-1	-1	-1	0	1	0	-1	0
despojadas	strip	0	0	0	-1	0	1	1	0	0
debitadas	charge	-1	0	0	-1	1	1	1	-1	1
Deixámo-los	blind	0	0	-1	-1	0	1	1	0	0
destruir	destroy	0	-1	-1	-1	0	1	0	-1	0
lealmente	do	1	1	1	0	0	1	1	0	1
inverte	turn	0	0	0	0	0	0	1	0	0
indutores	regard	1	1	1	1	1	1	1	1	1
somo	be	0	1	0	0	0	0	1	0	1
interpelou-nos	raise	0	0	1	1	0	0	1	0	1
Sainjon	express	-1	0	0	0	1	0	1	0	0
preterida	draw	0	0	1	1	1	1	0	0	0
Estado-membro	concern	1	-1	0	-1	0	1	1	-1	0
SPF	provide	1	1	1	1	1	1	1	0	1
adoptandas	be	0	1	0	0	0	0	1	0	1
bastava	be	0	1	0	0	0	0	1	0	1
armarem-se	arm	0	0	0	-1	0	1	0	-1	0
Jeggle	write	1	1	1	1	1	1	1	0	1
aproveitemos	let	0	0	0	1	-1	0	1	0	0
salvamento	rescue	1	1	1	1	1	1	1	1	1
emperrada	inform	1	1	1	1	0	1	1	1	0
adquiriu	have	1	1	1	0	0	1	1	0	1
cadernos	register	1	0	1	0	1	1	1	0	0
chamava	call	0	0	1	1	0	1	1	0	1
adquirir	acquire	1	1	1	1	1	1	1	0	1
adubo	catapult	0	0	0	1	0	1	0	-1	0
Tivemos	have	1	1	1	0	0	1	1	0	1
insolvência	become	0	0	0	0	0	0	1	0	0
pinte	paint	1	1	1	1	1	1	1	0	1
etiqueta	label	0	0	0	0	0	1	0	0	0
indicaria	indicate	0	0	0	1	0	1	1	0	0
want	want	1	0	1	0	0	1	1	0	1
focando-se	focus	1	1	1	1	0	1	1	0	1
derrogá-la	be	0	1	0	0	0	0	1	0	1
absoluta	complete	1	1	1	1	1	1	1	0	1
instaure	take	1	1	1	0	1	1	1	0	1
prender-se	be	0	1	0	0	0	0	1	0	1
prostituem	adopt	1	1	1	1	1	1	1	0	1
travem	stop	0	0	0	-1	1	1	1	-1	0
valores-alvo	target	0	0	0	1	0	0	0	0	0
G-77	try	0	1	1	0	1	1	1	0	0
travei	have	1	1	1	0	0	1	1	0	1
salientaremos	highlight	1	1	1	1	0	1	1	0	1
desrespeitos	frequent	1	1	1	0	1	1	1	1	0
desrespeitou	have	1	1	1	0	0	1	1	0	1
Ramallah	play	1	1	1	1	1	1	1	0	1
exumar	resurrect	1	1	1	1	1	1	1	1	1
Justiça	have	1	1	1	0	0	1	1	0	1
subvertendo-se	turn	0	0	0	0	0	0	1	0	0
desembarcarem	land	0	0	1	0	0	1	1	0	1
história-sem-fim	be	0	1	0	0	0	0	1	0	1
Câmbio	rate	0	1	0	1	0	0	1	0	0
caldo	grind	0	0	0	-1	0	0	1	0	1
calem-se	be	0	1	0	0	0	0	1	0	1
balões	supply	0	0	1	1	1	1	1	0	1
anotado	note	0	0	0	0	0	0	1	0	0
sócios	see	1	1	1	1	1	1	1	0	1
votarem	vote	0	0	0	1	1	1	1	0	0
ordenam	order	0	0	0	-1	0	0	1	0	0
arruinaram	ruin	0	-1	0	-1	0	1	0	-1	-1
fornecesse	provide	1	1	1	1	1	1	1	0	1
privarmos	deprive	0	-1	0	-1	0	1	0	-1	0
sede	seat	1	1	1	1	0	1	1	1	0
ordenar	order	0	0	0	-1	0	0	1	0	0
surgiam	be	0	1	0	0	0	0	1	0	1
Bem-haja	thank	1	1	1	1	1	1	1	1	1
contribuíssemos	contribute	1	1	1	1	1	1	1	0	1
enganosos	mislead	0	-1	0	-1	0	1	0	-1	0
Exprimi-me	do	1	1	1	0	0	1	1	0	1
hesitássemos	be	0	1	0	0	0	0	1	0	1
CFO	organize	0	0	1	1	1	1	1	0	1
acostumar-se	become	0	0	0	0	0	0	1	0	0
brilhou	be	0	1	0	0	0	0	1	0	1
diversificação	diversify	0	0	0	0	1	1	1	0	0
fertilizantes	price	0	0	1	1	1	0	1	0	1
CFC	stop	0	0	0	-1	1	1	1	-1	0
Segunda-feira	follow	0	0	1	1	1	1	1	0	1
CFA	handle	0	1	0	1	0	1	1	0	1
reformulado	rewrite	1	1	1	1	1	1	1	0	1
desvantajosa	play	1	1	1	1	1	1	1	0	1
meticulosas	detail	0	0	0	1	0	0	1	0	0
retrógrada	step	1	1	1	1	1	0	1	0	1
retrógrado	step	1	1	1	1	1	0	1	0	1
rompeu	break	0	0	-1	-1	1	1	1	0	1
Friedmannn	report	0	0	-1	1	0	0	1	0	-1
desvantajoso	term	1	1	0	1	1	1	0	0	0
lutamos	be	0	1	0	0	0	0	1	0	1
comentem	be	0	1	0	0	0	0	1	0	1
saliente	stress	0	0	1	1	0	1	1	0	0
assino	sign	0	0	1	1	1	1	1	0	1
comentei	comment	0	0	0	0	0	1	1	0	1
salienta	stress	0	0	1	1	0	1	1	0	0
perscrutar	look	0	1	1	0	0	0	1	0	1
investir-se	invest	1	1	1	1	1	1	1	1	1
interrogamos	wonder	0	1	0	0	-1	0	1	0	-1
saliento	stress	0	0	1	1	0	1	1	0	0
Badajoz	occur	1	1	0	1	0	1	0	1	0
cerrado	need	0	1	1	0	0	1	1	0	0
legíveis	be	0	1	0	0	0	0	1	0	1
combatendo	combat	0	0	0	-1	0	1	1	0	0
dirigia	head	1	0	1	1	1	1	1	0	1
pré-eleitoral	touch	1	0	1	0	0	1	1	0	1
elucidado	ignore	0	-1	-1	-1	0	1	0	-1	0
agradasse	be	0	1	0	0	0	0	1	0	1
incorporamos	incorporate	0	0	1	1	0	1	1	0	1
39º	transcend	0	1	0	1	0	1	1	0	0
elucidada	range	0	0	0	0	0	0	0	0	0
separadamente	separate	0	0	0	-1	0	1	1	-1	0
cingirem	keep	1	1	1	0	1	1	1	1	1
explica-se	be	0	1	0	0	0	0	1	0	1
continuar-se-á	be	0	1	0	0	0	0	1	0	1
fit	fit	0	0	1	1	0	1	1	0	1
saqueados	loot	0	-1	-1	-1	1	1	0	-1	1
fiz	have	1	1	1	0	0	1	1	0	1
decorrerão	be	0	1	0	0	0	0	1	0	1
aceitaria	accept	1	1	1	1	1	1	1	0	1
leituras	read	0	0	1	0	1	0	1	0	1
transcenda	transcend	0	1	0	1	0	1	1	0	0
di-lo-ei	say	0	0	0	0	0	0	1	0	0
fio	end	0	1	0	0	1	0	1	0	0
cingir-me-ei	confine	0	0	0	-1	0	1	0	-1	0
fim	order	0	0	0	-1	0	0	1	0	0
caldeiras	keep	1	1	1	0	1	1	1	1	1
arrebatada	be	0	1	0	0	0	0	1	0	1
pré-industrial	surface	0	0	0	1	0	1	-1	0	0
extravase	go	0	0	0	0	0	0	1	0	0
zelosamente	power	1	0	0	0	0	0	1	0	1
Quintela	involve	0	0	0	0	1	1	1	0	0
aparentavam	seem	0	0	0	0	0	-1	0	0	0
ressentiu-se	be	0	1	0	0	0	0	1	0	1
ostenta	bear	0	0	0	0	1	1	1	0	0
hesitámos	hesitate	0	0	-1	0	-1	0	1	0	-1
Scapagnini	pursue	0	1	1	0	0	1	1	0	1
assediar	harass	0	-1	-1	-1	0	1	0	-1	0
sobrepôs	be	0	1	0	0	0	0	1	0	1
justificando-a	be	0	1	0	0	0	0	1	0	1
multidimensional	cover	0	0	0	1	1	1	1	0	0
omitirei	like	1	1	1	1	0	1	1	1	1
reunirei	meet	0	1	1	1	1	1	1	0	1
desorganizar	disrupt	1	-1	0	-1	0	1	0	-1	0
investigarmos	investigate	0	1	0	0	1	1	1	0	0
reunirem	meet	0	1	1	1	1	1	1	0	1
espoliado	dig	0	0	0	0	0	0	1	0	0
folha	record	1	1	1	1	1	1	1	0	1
debatessem	discuss	1	1	0	1	1	1	1	0	1
englobados	fall	0	0	0	-1	-1	0	1	0	-1
arroz	express	-1	0	0	0	1	0	1	0	0
impõe-se	be	0	1	0	0	0	0	1	0	1
interditos	ban	0	-1	-1	-1	0	1	1	0	0
iraquianas	be	0	1	0	0	0	0	1	0	1
constassem	be	0	1	0	0	0	0	1	0	1
edificados	build	1	1	1	1	1	1	1	0	1
votaríamos	vote	0	0	0	1	1	1	1	0	0
sedeado	base	0	1	1	1	1	1	1	0	1
preteridos	pass	0	1	0	0	0	1	1	0	0
turbulência	cause	-1	-1	0	0	0	-1	0	0	0
conceder-lhes	give	0	1	1	0	0	0	1	0	1
heterogénea	vary	0	0	1	0	1	0	1	0	0
virtuosos	show	1	1	1	0	1	0	1	0	0
sedeada	base	0	1	1	1	1	1	1	0	1
viária	transport	0	1	0	1	1	1	1	0	0
ordenamento	plan	1	1	1	1	1	1	1	0	1
ratificou	ratify	1	1	1	1	1	1	1	0	1
incentivá	encourage	1	1	1	1	0	1	1	1	1
crónicos	respond	0	1	0	0	0	1	1	0	1
camião	truck	0	0	0	0	1	0	1	0	0
endossados	be	0	1	0	0	0	0	1	0	1
atiçar	fan	0	0	0	0	0	1	1	0	1
caderno	term	1	1	0	1	1	1	0	0	0
unirá	unite	1	1	0	1	0	1	1	1	0
atiçam	fuel	0	0	0	1	1	1	1	0	1
transformaüão	increase	1	1	0	1	0	1	1	0	1
optariam	choose	1	1	1	1	1	1	1	1	1
quebrarmos	break	0	0	-1	-1	1	1	1	0	1
germinará	grow	1	1	1	1	1	1	1	0	1
coordenaram	coordinate	0	0	0	1	0	-1	0	0	0
ribeirinha	be	0	1	0	0	0	0	1	0	1
misturaram	be	0	1	0	0	0	0	1	0	1
recuaria	back	1	1	1	1	1	1	1	1	1
ganharemos	gain	1	1	1	1	1	1	1	0	1
correcta	correct	0	0	0	1	0	1	1	0	0
correcto	correct	0	0	0	1	0	1	1	0	0
preocupamo-nos	concern	1	-1	0	-1	0	1	1	-1	0
portão	knock	0	-1	-1	-1	0	1	0	-1	0
Convivir	can	0	0	0	0	0	1	1	0	1
omitem	omit	0	0	-1	0	1	1	1	0	0
escavadas	be	0	1	0	0	0	0	1	0	1
chorei	weep	0	-1	-1	-1	-1	1	1	0	-1
mostra-o	show	1	1	1	0	1	0	1	0	0
gerou-se	have	1	1	1	0	0	1	1	0	1
alérgenas	indicate	0	0	0	1	0	1	1	0	0
desgastados	wear	1	1	1	0	1	1	1	0	1
desencorajar	discourage	0	0	-1	-1	0	1	1	-1	0
interligamos	look	0	1	1	0	0	0	1	0	1
progredisse	progress	1	1	0	1	1	1	1	0	1
queixaram-se-me	have	1	1	1	0	0	1	1	0	1
importámos	import	0	0	0	1	1	1	1	0	1
humanidade	race	0	0	0	0	1	1	1	0	1
desencorajam	discourage	0	0	-1	-1	0	1	1	-1	0
parentes	can	0	0	0	0	0	1	1	0	1
discriminarem	discriminate	0	0	1	1	0	1	1	0	0
congratulado	welcome	1	1	1	1	1	1	1	1	1
competem	compete	1	1	1	1	1	1	1	0	1
perguntava	ask	0	0	0	0	1	1	1	0	0
desgraça	doom	0	-1	0	-1	0	1	0	-1	1
efectuou-se	have	1	1	1	0	0	1	1	0	1
desfazermo-nos	pursue	0	1	1	0	0	1	1	0	1
abdicarmos	dry	1	0	0	0	0	1	1	0	0
afirmações	say	0	0	0	0	0	0	1	0	0
protestavam	protest	1	0	1	1	0	1	1	0	1
conhecesse	know	1	1	1	0	1	1	1	0	1
suportes	record	1	1	1	1	1	1	1	0	1
restitui-la	oblige	1	1	1	1	0	1	1	1	0
desportos	sport	1	0	1	1	1	1	1	0	1
descritiva	review	0	0	0	1	0	1	1	0	0
eurocéptica	be	0	1	0	0	0	0	1	0	1
facultará	provide	1	1	1	1	1	1	1	0	1
triunfou	have	1	1	1	0	0	1	1	0	1
propalado	spread	-1	-1	0	1	0	-1	1	0	0
compromisso	compromise	0	-1	0	-1	-1	1	0	0	0
eurocéptico	term	1	1	0	1	1	1	0	0	0
descritivo	concur	0	0	0	0	0	1	1	0	1
Corrigimo-lo	be	0	1	0	0	0	0	1	0	1
levaram	have	1	1	1	0	0	1	1	0	1
prorrogáveis	disregard	0	-1	-1	-1	-1	1	1	0	-1
service	point	0	0	0	0	1	0	1	0	0
desaparece	disappear	0	0	0	0	0	0	1	0	0
escapar-se	slip	0	0	0	0	0	0	1	0	0
adicionem	add	1	1	1	1	1	0	1	0	1
reportar-me	refer	1	1	1	1	0	1	1	1	1
ensaiou	try	0	1	1	0	1	1	1	0	0
envidam	make	0	0	0	1	0	0	1	0	0
rédeas	rein	0	0	0	1	0	1	1	0	0
auto-excluído	close	0	1	1	0	0	1	1	0	1
ensaios	test	0	1	1	0	1	1	1	0	1
reingresso	return	0	0	0	0	0	1	1	0	0
follow-upque	be	0	1	0	0	0	0	1	0	1
abanar	shake	0	0	0	0	0	0	1	0	-1
Sun	hear	0	1	0	0	1	1	1	0	0
preliminares	draft	1	1	1	1	1	1	1	0	1
Secchi	report	0	0	-1	1	0	0	1	0	-1
proferimos	have	1	1	1	0	0	1	1	0	1
quotidiana	live	1	1	1	1	1	1	1	0	1
quotidiano	live	1	1	1	1	1	1	1	0	1
proteladas	put	1	1	1	0	1	1	1	0	1
aconselhados	advise	1	1	1	1	0	1	1	1	1
espelhos	mirror	0	0	0	1	0	1	1	0	0
Bíblia	make	0	0	0	1	0	0	1	0	0
alimentados	be	0	1	0	0	0	0	1	0	1
reincidência	repeat	0	1	0	1	0	1	1	0	0
bairros	improve	1	1	1	1	0	1	1	0	1
grangeou	have	1	1	1	0	0	1	1	0	1
explicada	explain	1	1	0	1	0	1	1	0	1
carbonífera	mine	0	0	0	1	0	1	1	0	0
270	locate	0	1	0	1	1	1	1	0	0
abusaram	abuse	1	-1	-1	-1	0	1	1	-1	-1
bananas	dispute	0	0	-1	-1	-1	1	1	0	-1
laureado	award	1	1	1	1	0	1	1	0	1
refinação	refine	0	1	0	1	1	1	1	0	1
comprometamos	commit	-1	-1	0	0	-1	0	1	0	-1
privilegia-se	be	0	1	0	0	0	0	1	0	1
Caifás	be	0	1	0	0	0	0	1	0	1
saudá-los	be	0	1	0	0	0	0	1	0	1
Extradição	insert	0	1	1	1	0	0	1	0	1
remetendo-a	refer	1	1	1	1	0	1	1	1	1
neocoloniais	do	1	1	1	0	0	1	1	0	1
relatou-nos	have	1	1	1	0	0	1	1	0	1
arranjou	have	1	1	1	0	0	1	1	0	1
observar-se	be	0	1	0	0	0	0	1	0	1
encerrá-los	close	0	1	1	0	0	1	1	0	1
remetendo-o	dodge	0	0	0	-1	1	1	1	-1	0
inflexível	stone	0	0	0	-1	0	1	1	0	1
motivadas	motivate	1	1	0	1	1	1	1	1	0
carência	lack	0	0	0	0	-1	1	1	0	-1
reduzirá	reduce	0	0	0	-1	1	1	1	-1	0
Chicago	write	1	1	1	1	1	1	1	0	1
satisfeitíssimo	delight	1	-1	1	0	0	1	1	-1	1
riquíssima	enjoy	1	1	1	1	1	1	1	1	1
piscar	remind	1	1	1	1	0	1	1	0	0
acrescentamos	add	1	1	1	1	1	0	1	0	1
longa	time	0	0	1	0	1	0	1	0	1
pacientes	aim	0	0	0	1	1	0	1	0	1
longe	further	1	1	1	1	0	1	1	0	1
cilindrado	grind	0	0	0	-1	0	0	1	0	1
Theo	forward	1	1	0	1	1	1	1	0	1
interpretava	can	0	0	0	0	0	1	1	0	1
captam	catch	0	1	0	0	1	1	1	0	1
Fontaine	refer	1	1	1	1	0	1	1	1	1
desfazem	break	0	0	-1	-1	1	1	1	0	1
NAIADES	accord	1	0	0	1	0	1	1	0	1
pontuações	point	0	0	0	0	1	0	1	0	0
recebem	receive	1	1	1	0	1	1	1	0	1
eis-nos	be	0	1	0	0	0	0	1	0	1
Serviço	create	1	1	0	1	1	1	1	0	0
imiscuir-me	interfere	0	-1	0	0	0	1	0	0	0
omissas	lack	0	0	0	0	-1	1	1	0	-1
desfazer	undo	0	0	0	1	0	1	0	0	1
preparada	prepare	1	1	1	1	1	1	1	1	1
profetizar	prove	0	0	0	1	0	1	1	0	1
envolverem	involve	0	0	0	0	1	1	1	0	0
revolucionaram	have	1	1	1	0	0	1	1	0	1
provindo	come	0	1	0	0	0	0	1	0	0
Seis	talk	0	0	0	0	0	1	1	0	0
conceder	grant	0	0	1	1	0	1	1	0	1
representavam	represent	0	1	0	1	0	1	1	0	0
aplicar-se-á	apply	0	1	1	1	1	1	1	0	1
comprovaram	have	1	1	1	0	0	1	1	0	1
recorreríamos	regard	1	1	1	1	1	1	1	1	1
emocionalmente	hand	1	1	0	1	1	1	1	0	1
estabelecê-las	set	0	0	1	1	1	1	1	0	1
carinho	love	1	1	1	1	1	1	1	1	1
combatê-la	fight	-1	0	-1	-1	0	0	1	0	-1
cúpula	top	0	0	1	0	1	1	1	0	1
Pandora	desire	1	1	1	1	0	1	1	1	1
familiarizarmos	become	0	0	0	0	0	0	1	0	0
combatê-lo	combat	0	0	0	-1	0	1	1	0	0
pedir-se-á	be	0	1	0	0	0	0	1	0	1
trataria	be	0	1	0	0	0	0	1	0	1
concedem	grant	0	0	1	1	0	1	1	0	1
partilhado	share	1	1	1	0	1	1	1	0	1
acrescentassem	add	1	1	1	1	1	0	1	0	1
eximam	prevent	0	0	0	-1	0	1	1	-1	0
produtoras	produce	1	1	1	1	0	1	1	0	1
desenvolvidas	develop	0	1	0	1	0	0	1	0	0
referirmo-nos	refer	1	1	1	1	0	1	1	1	1
autorizemos	allow	1	1	1	1	0	1	1	1	1
hiato	wage	0	1	1	1	1	1	1	0	1
Vauxhall	plant	1	1	1	1	1	1	1	0	1
partilhada	share	1	1	1	0	1	1	1	0	1
teci	make	0	0	0	1	0	0	1	0	0
empenhemos	be	0	1	0	0	0	0	1	0	1
tece	be	0	1	0	0	0	0	1	0	1
assemelhado	like	1	1	1	1	0	1	1	1	1
unificado	unify	1	1	0	1	1	1	1	0	0
cambaleia	have	1	1	1	0	0	1	1	0	1
recrutaram	have	1	1	1	0	0	1	1	0	1
questes	issue	0	0	0	1	0	1	1	0	0
estais	be	0	1	0	0	0	0	1	0	1
escrevesse	write	1	1	1	1	1	1	1	0	1
unificada	unify	1	1	0	1	1	1	1	0	0
enfraquece	weaken	0	-1	0	-1	0	1	0	-1	0
despoluir	clean	0	1	1	1	0	0	1	0	1
discriminando	discriminate	0	0	1	1	0	1	1	0	0
prestigiado	lead	0	1	1	1	1	0	1	0	1
Cunha	do	1	1	1	0	0	1	1	0	1
antiliberal	consider	1	1	1	1	1	1	1	0	1
prestigiada	distinguish	1	0	0	1	0	1	1	1	0
restringindo-se	aim	0	0	0	1	1	0	1	0	1
pêndulo	swing	0	1	0	0	1	0	1	0	0
demissionários	resign	0	0	0	0	-1	1	1	0	-1
vizinhos	surround	0	0	-1	0	1	1	1	0	1
considerandos	reason	0	0	0	0	0	0	1	0	1
permitiu-me	enable	1	1	0	1	1	1	1	1	0
unanimemente	agree	0	0	0	0	1	1	1	0	1
condicionará	be	0	1	0	0	0	0	1	0	1
rico	risk	-1	0	-1	0	-1	0	1	0	-1
professamos	profess	1	1	1	1	1	1	1	0	1
pedindo-lhe	ask	0	0	0	0	1	1	1	0	0
18	consider	1	1	1	1	1	1	1	0	1
irá	be	0	1	0	0	0	0	1	0	1
adjudicados	award	1	1	1	1	0	1	1	0	1
alargar	extend	0	1	1	1	1	1	1	0	1
verborreia	talk	0	0	0	0	0	1	1	0	0
Panchem	be	0	1	0	0	0	0	1	0	1
prevenirem	prevent	0	0	0	-1	0	1	1	-1	0
representariam	represent	0	1	0	1	0	1	1	0	0
realinhamento	win	1	1	1	1	1	1	1	0	1
