fr Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
étoffée	extend	0	1	1	1	1	1	1	0	1
274	control	1	0	1	0	1	1	1	0	1
277	be	0	1	0	0	0	0	1	0	1
Honorable	question	0	0	1	1	1	1	1	0	1
nœud	lie	0	0	0	0	0	1	1	0	0
resserrement	tighten	0	0	0	0	0	1	1	0	0
traitants	own	0	1	1	1	1	1	1	0	1
éliraient	elect	1	1	1	1	1	1	1	1	1
kidnapping	kidnap	0	0	-1	-1	1	1	1	-1	1
éveilleront	feel	1	1	1	0	0	0	1	0	1
phtalates	soften	0	0	0	0	0	1	1	0	0
repartirons	track	-1	1	-1	-1	1	1	1	-1	1
déresponsabilisation	take	1	1	1	0	1	1	1	0	1
non-inclusion	include	1	1	1	1	1	1	1	1	0
réfugiant	take	1	1	1	0	1	1	1	0	1
effaroucher	shy	0	0	-1	-1	-1	1	0	-1	-1
familles	group	0	0	0	1	1	0	1	0	1
Sudètes	pursue	0	1	1	0	0	1	1	0	1
stéréotypes	be	0	1	0	0	0	0	1	0	1
prolifiques	ground	0	0	1	1	1	1	1	0	1
modestement	own	0	1	1	1	1	1	1	0	1
commémore	commemorate	1	1	1	1	1	1	1	1	0
saignées	cut	0	0	0	-1	0	0	1	0	0
pourparlers	talk	0	0	0	0	0	1	1	0	0
Parmalat	do	1	1	1	0	0	1	1	0	1
cumulent	suffer	-1	1	-1	0	-1	-1	1	0	-1
47	total	0	0	0	0	0	1	1	0	0
existons	exist	1	1	1	0	1	0	1	0	1
survolées	route	0	0	0	0	0	1	1	0	0
incarnant	embody	1	1	1	1	1	1	1	0	1
entachées	mar	0	0	0	1	0	1	1	0	1
précéda	infringe	0	-1	0	-1	0	1	1	0	0
naturel	expect	0	1	1	1	0	0	1	0	1
baptismaux	take	1	1	1	0	1	1	1	0	1
décorent	be	0	1	0	0	0	0	1	0	1
controverse	dispute	0	0	-1	-1	-1	1	1	0	-1
parlementarisation	process	0	0	1	1	1	1	1	0	0
méconnaissaient	do	1	1	1	0	0	1	1	0	1
protectionnistes	be	0	1	0	0	0	0	1	0	1
projection	project	0	0	1	1	1	1	1	0	1
Là	remark	0	0	0	0	0	1	1	-1	1
pécheur	be	0	1	0	0	0	0	1	0	1
compétitives	compete	1	1	1	1	1	1	1	0	1
sous-estimation	underestimate	0	-1	0	-1	-1	1	1	-1	-1
modifiés	modify	0	0	0	0	0	1	1	0	0
jouirait	enjoy	1	1	1	1	1	1	1	1	1
abandonnent	abandon	0	-1	-1	-1	-1	0	1	-1	-1
géniteurs	spawn	0	0	0	0	1	1	0	0	1
Gdań	release	0	0	0	1	0	1	1	1	1
modifiée	amend	1	1	1	1	1	1	1	0	1
Baltique	comply	0	0	0	1	1	1	1	0	1
sensibilisation	raise	0	0	1	1	0	0	1	0	1
rétrocession	return	0	0	0	0	0	1	1	0	0
post-Kyoto	allow	1	1	1	1	0	1	1	1	1
transportée	transport	0	1	0	1	1	1	1	0	0
Karadzic	regard	1	1	1	1	1	1	1	1	1
constitutif	establish	0	0	1	1	1	1	1	1	1
holistique	draw	0	0	1	1	1	1	0	0	0
voyageur	travel	1	1	1	0	1	0	1	0	1
sermons	lecture	0	1	1	1	1	1	1	0	1
contentera	satisfy	1	1	0	1	0	1	1	1	1
glanées	emerge	1	1	0	0	0	1	1	0	1
emblématiques	define	0	0	0	1	1	1	1	0	0
baladé	threaten	0	-1	-1	-1	0	1	1	-1	-1
semée	cause	-1	-1	0	0	0	-1	0	0	0
populations	group	0	0	0	1	1	0	1	0	1
UNITA	transcend	0	1	0	1	0	1	1	0	0
vaillamment	have	1	1	1	0	0	1	1	0	1
semés	sow	0	0	1	1	0	1	1	0	1
érigent	erect	1	1	1	1	1	1	1	0	1
rechercherons	look	0	1	1	0	0	0	1	0	1
rechercheront	be	0	1	0	0	0	0	1	0	1
chancellement	look	0	1	1	0	0	0	1	0	1
contrôlera	monitor	0	1	1	1	1	0	1	0	0
aviserons	see	1	1	1	1	1	1	1	0	1
capturant	catch	0	1	0	0	1	1	1	0	1
SPD	form	1	1	1	1	1	1	1	0	1
renégocié	renegotiate	0	0	1	1	1	1	1	0	1
Sainjon	note	0	0	0	0	0	0	1	0	0
Colombie	force	0	0	0	-1	0	1	0	-1	0
observateurs	monitor	0	1	1	1	1	0	1	0	0
rudement	be	0	1	0	0	0	0	1	0	1
radicalisation	further	1	1	1	1	0	1	1	0	1
contemporaines	mass	0	0	0	1	0	0	1	0	0
sous-traitées	be	0	1	0	0	0	0	1	0	1
La	believe	0	0	1	1	0	1	1	1	1
querellés	argue	0	0	1	1	0	1	1	0	0
achevées	complete	1	1	1	1	1	1	1	0	1
Andalousie	visit	1	1	1	1	1	1	1	1	1
avancerai	bring	0	0	1	1	0	0	1	0	0
rythme	rate	0	1	0	1	0	0	1	0	0
déserts	desert	0	-1	-1	-1	0	1	1	-1	-1
bienvenu	welcome	1	1	1	1	1	1	1	1	1
want	want	1	0	1	0	0	1	1	0	1
contextes	single	0	0	0	-1	0	0	1	0	0
rayon	shelve	0	0	0	-1	0	1	1	0	1
genou	adopt	1	1	1	1	1	1	1	0	1
navigué	sail	1	1	1	1	1	1	1	0	1
hérisse	end	0	1	0	0	1	0	1	0	0
ministériels	show	1	1	1	0	1	0	1	0	0
voleraient	fly	0	1	1	0	0	0	1	0	1
assainies	sound	1	0	0	1	0	1	0	0	0
travel	travel	1	1	1	0	1	0	1	0	1
Attention	care	1	1	1	1	0	1	1	0	1
construisait	build	1	1	1	1	1	1	1	0	1
abondantes	deal	0	0	0	0	0	0	0	0	0
réagissez	be	0	1	0	0	0	0	1	0	1
2025.	forecast	0	0	0	0	0	0	1	0	1
Ramallah	move	0	0	0	1	0	1	1	0	0
réfréner	curb	0	0	0	-1	0	1	1	0	0
Énergie-climat	change	0	1	0	1	0	1	1	0	1
encombrement	crowd	0	0	0	-1	0	1	1	0	0
prostituer	work	1	1	1	1	0	1	1	0	1
arrangeaient	fare	0	1	1	0	1	0	1	0	1
assainissons	clean	0	1	1	1	0	0	1	0	1
amenée	lead	0	1	1	1	1	0	1	0	1
échelles	scale	0	0	0	0	0	0	1	0	0
réactivité	respond	0	1	0	0	0	1	1	0	1
dinosaure	fly	0	1	1	0	0	0	1	0	1
vibrer	rejoice	1	1	1	1	0	1	1	1	1
trouvons	be	0	1	0	0	0	0	1	0	1
balade	opt	1	1	1	0	1	1	1	0	1
stigmatisait	do	1	1	1	0	0	1	1	0	1
trésoreries	practice	0	0	1	1	0	0	1	0	0
amenés	lead	0	1	1	1	1	0	1	0	1
promotion	promote	1	1	1	1	1	1	1	0	1
souci	concern	1	-1	0	-1	0	1	1	-1	0
trahissent	betray	1	-1	-1	-1	0	1	1	-1	0
réorientée	redirect	0	0	0	1	0	0	1	0	0
CFO	organize	0	0	1	1	1	1	1	0	1
renégocie	negotiate	1	1	1	1	1	1	1	0	1
prétends	be	0	1	0	0	0	0	1	0	1
mènera	lead	0	1	1	1	1	0	1	0	1
malsaines	try	0	1	1	0	1	1	1	0	0
occasions	time	0	0	1	0	1	0	1	0	1
miraculeuses	perform	0	0	1	0	1	1	1	0	1
superficielles	surface	0	0	0	1	0	1	-1	0	0
réintégré	return	0	0	0	0	0	1	1	0	0
CFC	dry	1	0	0	0	0	1	1	0	0
approuviez	agree	0	0	0	0	1	1	1	0	1
appropriation	take	1	1	1	0	1	1	1	0	1
défiler	march	0	0	0	0	0	0	1	0	0
prétende	claim	1	1	1	0	1	1	1	0	1
réorientés	redirect	0	0	0	1	0	0	1	0	0
torts	blame	-1	-1	-1	-1	-1	1	1	-1	-1
Shimon	desire	1	1	1	1	0	1	1	1	1
c.-à-d	word	0	1	0	0	0	0	1	0	0
amassées	amass	1	1	1	0	1	1	1	0	1
miels	consume	0	0	1	0	1	1	1	0	1
voûte	focus	1	1	1	1	0	1	1	0	1
peux	can	0	0	0	0	0	1	1	0	1
réalisons	be	0	1	0	0	0	0	1	0	1
peur	fear	-1	0	-1	0	-1	0	1	0	-1
chevauche	overlap	0	0	0	0	0	1	1	0	0
concurrence	compete	1	1	1	1	1	1	1	0	1
conciliants	accommodate	1	1	0	1	0	1	1	0	0
peut	can	0	0	0	0	0	1	1	0	1
jetées	throw	0	0	0	0	0	1	1	0	1
cancérogènes	be	0	1	0	0	0	0	1	0	1
Robertson	term	1	1	0	1	1	1	0	0	0
conciliante	accommodate	1	1	0	1	0	1	1	0	0
welcomes	be	0	1	0	0	0	0	1	0	1
fit	do	1	1	1	0	0	1	1	0	1
points-clés	point	0	0	0	0	1	0	1	0	0
noyaux	turn	0	0	0	0	0	0	1	0	0
multimédias	learn	1	1	1	0	1	1	1	0	1
lévriers	track	-1	1	-1	-1	1	1	1	-1	1
saurions	can	0	0	0	0	0	1	1	0	1
anticipations	anchor	0	0	1	1	1	0	1	0	1
vau-l'eau	be	0	1	0	0	0	0	1	0	1
fie	rely	0	0	1	0	1	0	1	0	1
furie	owe	0	0	-1	0	-1	0	1	0	-1
fin	end	0	1	0	0	1	0	1	0	0
variables	vary	0	0	1	0	1	0	1	0	0
fil	line	0	0	0	0	1	0	1	0	1
barrières	trade	0	1	1	1	1	1	1	0	1
corridor	establish	0	0	1	1	1	1	1	1	1
enrobage	err	0	0	0	-1	0	1	1	0	1
galvaudée	tarnish	0	-1	0	-1	0	1	0	-1	0
qualitatifs	leap	0	0	0	0	0	1	1	0	0
éloigner	move	0	0	0	1	0	1	1	0	0
réparé	repair	0	1	0	1	1	1	1	0	1
concentrions	focus	1	1	1	1	0	1	1	0	1
Scapagnini	comment	0	0	0	0	0	1	1	0	1
saluiez	welcome	1	1	1	1	1	1	1	1	1
touchant	affect	1	0	0	0	0	1	1	0	0
évier	sink	0	0	0	-1	1	0	0	-1	0
hautaine	opt	1	1	1	0	1	1	1	0	1
hospitalier	strain	0	0	0	-1	0	1	1	-1	-1
loyalement	do	1	1	1	0	0	1	1	0	1
terroristes	be	0	1	0	0	0	0	1	0	1
député	question	0	0	1	1	1	1	1	0	1
évolutions	change	0	1	0	1	0	1	1	0	1
ensuivront	follow	0	0	1	1	1	1	1	0	1
espèce	sort	0	0	0	1	0	1	1	0	0
bavures	do	1	1	1	0	0	1	1	0	1
écofiscalité	tax	0	0	1	1	1	0	1	0	1
reconnaissables	enable	1	1	0	1	1	1	1	1	0
-t-il	do	1	1	1	0	0	1	1	0	1
séparations	regard	1	1	1	1	1	1	1	1	1
soutiendrez	support	1	1	1	1	0	1	1	1	1
fondamentalismes	form	1	1	1	1	1	1	1	0	1
renflouement	bail	0	0	0	-1	0	1	1	-1	1
agricultrice	represent	0	1	0	1	0	1	1	0	0
progresserez	progress	1	1	0	1	1	1	1	0	1
raisonnées	reason	0	0	0	0	0	0	1	0	1
lancées	launch	1	1	1	1	1	1	1	0	1
attellera	work	1	1	1	1	0	1	1	0	1
392	vote	0	0	0	1	1	1	1	0	0
devrez	have	1	1	1	0	0	1	1	0	1
396	report	0	0	-1	1	0	0	1	0	-1
cofinancent	be	0	1	0	0	0	0	1	0	1
contrecoup	result	0	0	0	0	1	0	1	0	0
novices	put	1	1	1	0	1	1	1	0	1
gagné	win	1	1	1	1	1	1	1	0	1
internalise	believe	0	0	1	1	0	1	1	1	1
antiéconomique	do	1	1	1	0	0	1	1	0	1
rancart	scrap	0	0	-1	-1	-1	0	1	0	-1
méchants	sort	0	0	0	1	0	1	1	0	0
accuserait	accuse	0	0	-1	-1	0	1	1	-1	-1
destinons	intend	0	0	0	1	0	1	1	0	1
faisceau	package	0	0	0	1	1	0	1	0	1
gradation	graduate	1	1	1	1	1	1	1	0	1
toute	be	0	1	0	0	0	0	1	0	1
encourage	encourage	1	1	1	1	0	1	1	1	1
complaire	indulge	0	-1	1	1	0	1	1	0	1
contesterait	dispute	0	0	-1	-1	-1	1	1	0	-1
décennie	last	0	0	0	0	0	-1	-1	0	0
contesterais	be	0	1	0	0	0	0	1	0	1
répare	repair	0	1	0	1	1	1	1	0	1
engouement	support	1	1	1	1	0	1	1	1	1
vendiez	sell	0	0	0	0	1	1	1	0	1
dédommagées	compensate	0	0	0	1	0	1	1	1	0
emprisonner	imprison	0	-1	-1	-1	0	1	0	-1	0
corrects	correct	0	0	0	1	0	1	1	0	0
thèmes	issue	0	0	0	1	0	1	1	0	0
positionne	position	0	0	0	1	0	1	1	0	0
instructif	enlighten	1	1	0	1	0	1	1	1	0
PTOM	include	1	1	1	1	1	1	1	1	0
carottes	slice	0	0	0	-1	0	0	1	0	0
déclenchent	trigger	0	0	0	1	0	0	0	0	0
négative	damage	1	-1	0	-1	0	1	-1	-1	0
déferlante	flood	0	0	0	0	1	0	1	0	0
mastères	master	0	1	0	1	1	1	1	0	1
étanche	do	1	1	1	0	0	1	1	0	1
rentrerai	go	0	0	0	0	0	0	1	0	0
olivennes	have	1	1	1	0	0	1	1	0	1
énergétiques	power	1	0	0	0	0	0	1	0	1
agitée	trouble	0	-1	0	-1	0	1	0	-1	0
repousse	be	0	1	0	0	0	0	1	0	1
maladies	relate	0	1	1	1	0	1	1	0	1
antimondialisation	battle	0	0	0	-1	1	1	1	0	0
rejouer	play	1	1	1	1	1	1	1	0	1
ébullition	boil	0	0	0	-1	0	0	1	0	0
agités	challenge	0	1	-1	-1	1	1	1	-1	0
évoluent	be	0	1	0	0	0	0	1	0	1
extrêmement	major	0	1	0	0	1	1	1	0	1
service	serve	1	1	1	1	1	1	1	0	1
berné	change	0	1	0	1	0	1	1	0	1
renvoyions	back	1	1	1	1	1	1	1	1	1
cambriolage	allege	0	0	0	0	0	1	1	-1	0
dépoussiérer	do	1	1	1	0	0	1	1	0	1
tolérait	tolerate	-1	0	-1	1	0	1	1	0	-1
master	read	0	0	1	0	1	0	1	0	1
promettions	matter	0	0	0	-1	0	1	1	0	0
victorieuse	win	1	1	1	1	1	1	1	0	1
Secchi	report	0	0	-1	1	0	0	1	0	-1
viticoles	grow	1	1	1	1	1	1	1	0	1
-toi	say	0	0	0	0	0	0	1	0	0
acharnement	attack	0	-1	-1	-1	1	1	0	-1	0
task	locate	0	1	0	1	1	1	1	0	0
Agadir	regard	1	1	1	1	1	1	1	1	1
date-limite	let	0	0	0	1	-1	0	1	0	0
apathique	do	1	1	1	0	0	1	1	0	1
balises	be	0	1	0	0	0	0	1	0	1
baliser	map	0	0	0	0	0	1	1	0	1
mûrs	mature	0	1	0	1	0	1	1	0	0
déblayage	have	1	1	1	0	0	1	1	0	1
renonçait	be	0	1	0	0	0	0	1	0	1
mûre	mature	0	1	0	1	0	1	1	0	0
voilons	let	0	0	0	1	-1	0	1	0	0
similaires	like	1	1	1	1	0	1	1	1	1
similitude	share	1	1	1	0	1	1	1	0	1
longs	time	0	0	1	0	1	0	1	0	1
supprimait	be	0	1	0	0	0	0	1	0	1
opérions	operate	1	1	1	1	1	1	1	0	1
allouées	allocate	0	1	1	1	1	1	1	0	1
TREPCA	mine	0	0	0	1	0	1	1	0	0
satisferaient	satisfy	1	1	0	1	0	1	1	1	1
longe	run	0	1	1	1	1	1	1	0	1
cadrait	make	0	0	0	1	0	0	1	0	0
Fontaine	prove	0	0	0	1	0	1	1	0	1
Kennard	be	0	1	0	0	0	0	1	0	1
Pascual	point	0	0	0	0	1	0	1	0	0
affaire	matter	0	0	0	-1	0	1	1	0	0
influencerait	influence	0	0	0	0	0	1	1	0	0
coulisses	deal	0	0	0	0	0	0	0	0	0
incompréhensibles	understand	1	1	1	1	1	1	1	0	1
non-obligation	have	1	1	1	0	0	1	1	0	1
circonstanciel	have	1	1	1	0	0	1	1	0	1
exhortent	urge	1	1	1	1	0	1	1	1	1
originalité	feature	1	1	1	1	1	1	1	1	1
eût	have	1	1	1	0	0	1	1	0	1
exhorterai	urge	1	1	1	1	0	1	1	1	1
attachée	attach	0	0	1	1	1	1	1	0	0
cristallisation	be	0	1	0	0	0	0	1	0	1
officiait	serve	1	1	1	1	1	1	1	0	1
Pandore	consider	1	1	1	1	1	1	1	0	1
saccage	destroy	0	-1	-1	-1	0	1	0	-1	0
bafouer	flout	0	-1	1	1	0	1	1	0	1
assaillies	beset	0	0	-1	0	0	0	1	-1	0
bafouez	be	0	1	0	0	0	0	1	0	1
attachés	attach	0	0	1	1	1	1	1	0	0
treize	take	1	1	1	0	1	1	1	0	1
singer	imitate	1	1	1	1	1	1	1	0	1
.(EN	answer	0	1	0	1	0	0	1	0	0
intrinsèque	own	0	1	1	1	1	1	1	0	1
purges	purge	0	0	0	-1	0	1	1	-1	0
purger	serve	1	1	1	1	1	1	1	0	1
calquer	copy	0	0	0	1	1	1	1	0	1
pompeux	affect	1	0	0	0	0	1	1	0	0
affirmatives	go	0	0	0	0	0	0	1	0	0
raisonnée	reason	0	0	0	0	0	0	1	0	1
repartiront	advance	0	1	1	1	1	0	1	0	1
plastifiants	be	0	1	0	0	0	0	1	0	1
contrefaites	spare	0	1	0	1	0	1	1	0	1
trompe	mistake	0	0	-1	-1	-1	1	1	-1	-1
instigateur	force	0	0	0	-1	0	1	0	-1	0
froncer	free	1	1	1	1	1	1	1	1	1
minimale	level	0	1	1	1	1	0	1	0	1
mènerai	be	0	1	0	0	0	0	1	0	1
oublient	forget	-1	0	-1	-1	-1	0	1	-1	-1
affermissement	develop	0	1	0	1	0	0	1	0	0
recyclage	recycle	0	0	1	1	1	1	0	0	1
Cunha	report	0	0	-1	1	0	0	1	0	-1
ethnique	group	0	0	0	1	1	0	1	0	1
chargerai	have	1	1	1	0	0	1	1	0	1
Enron	start	1	1	1	1	1	1	1	0	1
honteusement	be	0	1	0	0	0	0	1	0	1
inconséquence	lack	0	0	0	0	-1	1	1	0	-1
tentée	tempt	0	-1	0	-1	0	1	0	-1	0
annihiler	cancel	0	0	-1	-1	0	1	1	0	0
purificatrice	be	0	1	0	0	0	0	1	0	1
tentés	tempt	0	-1	0	-1	0	1	0	-1	0
Aristeion	prize	1	1	1	1	1	1	1	0	1
venez	have	1	1	1	0	0	1	1	0	1
valident	confirm	1	1	1	1	1	1	1	0	1
démissionneront	accord	1	0	0	1	0	1	1	0	1
plats	cook	0	1	0	1	1	1	1	0	1
féculière	say	0	0	0	0	0	0	1	0	0
améliore	improve	1	1	1	1	0	1	1	0	1
exécutés	execute	0	0	0	0	0	1	1	0	1
largués	face	0	0	0	0	1	1	1	0	1
émettaient	have	1	1	1	0	0	1	1	0	1
lamentablement	fail	0	0	-1	-1	-1	0	1	-1	-1
écorché	torment	-1	-1	-1	-1	0	1	0	-1	1
Rio	place	0	0	1	1	1	1	1	0	1
différant	postpone	0	0	0	-1	0	1	1	0	0
gagne-pain	live	1	1	1	1	1	1	1	0	1
prolongements	dismay	1	-1	0	1	0	1	1	-1	1
Ria	wish	1	1	1	1	1	1	1	1	1
revendu	do	1	1	1	0	0	1	1	0	1
démarchage	sell	0	0	0	0	1	1	1	0	1
échange	exchange	0	0	1	0	1	0	1	0	0
interpellateur	indicate	0	0	0	1	0	1	1	0	0
trompé	mistake	0	0	-1	-1	-1	1	1	-1	-1
joueraient	play	1	1	1	1	1	1	1	0	1
patiemment	be	0	1	0	0	0	0	1	0	1
allègement	reduce	0	0	0	-1	1	1	1	-1	0
clarifiez	clarify	0	1	1	1	1	1	1	0	1
quarante	emerge	1	1	0	0	0	1	1	0	1
inconditionnellement	back	1	1	1	1	1	1	1	1	1
haïr	hate	-1	0	-1	-1	-1	1	1	-1	-1
clarifier	clarify	0	1	1	1	1	1	1	0	1
protestait	protest	1	0	1	1	0	1	1	0	1
lots	package	0	0	0	1	1	0	1	0	1
traques	feel	1	1	1	0	0	0	1	0	1
traquer	down	0	0	0	0	0	0	1	0	0
rognage	dock	0	0	0	1	1	1	0	0	0
titularisés	be	0	1	0	0	0	0	1	0	1
désignez	clear	0	1	1	1	1	1	1	0	1
annoncer	announce	1	1	1	1	1	1	1	0	1
loti	provide	1	1	1	1	1	1	1	0	1
radiophonique	radio	0	0	1	0	0	1	1	0	1
révèlent	reveal	0	0	0	1	0	1	1	0	0
ira	go	0	0	0	0	0	0	1	0	0
ire	call	0	0	1	1	0	1	1	0	1
cyber-attaques	attack	0	-1	-1	-1	1	1	0	-1	0
nature	can	0	0	0	0	0	1	1	0	1
conféreront	give	0	1	1	0	0	0	1	0	1
hydrogène	power	1	0	0	0	0	0	1	0	1
anti-criminalité	motivate	1	1	0	1	1	1	1	1	0
fruits	result	0	0	0	0	1	0	1	0	0
rencontrerions	have	1	1	1	0	0	1	1	0	1
conférerons	give	0	1	1	0	0	0	1	0	1
tendons	be	0	1	0	0	0	0	1	0	1
débits	flow	0	0	0	0	0	0	1	0	0
qui-vive	alert	0	0	0	1	0	1	1	0	0
nettoyages	cleanse	0	1	0	1	0	0	1	0	1
enliserons	down	0	0	0	0	0	0	1	0	0
cur	concern	1	-1	0	-1	0	1	1	-1	0
inexploitées	lie	0	0	0	0	0	1	1	0	0
davantage	further	1	1	1	1	0	1	1	0	1
homosexuels	couple	0	0	0	1	0	0	1	0	0
définies	define	0	0	0	1	1	1	1	0	0
plongeon	end	0	1	0	0	1	0	1	0	0
fraient	spawn	0	0	0	0	1	1	0	0	1
nourri	be	0	1	0	0	0	0	1	0	1
Laura	open	1	1	1	1	0	0	1	0	1
insinue	be	0	1	0	0	0	0	1	0	1
écourter	shorten	0	1	0	0	1	1	1	0	0
Fachkraft	range	0	0	0	0	0	0	0	0	0
investissent	invest	1	1	1	1	1	1	1	1	1
assiégée	besiege	0	0	-1	-1	0	1	0	-1	0
scènes	form	1	1	1	1	1	1	1	0	1
tricherait	do	1	1	1	0	0	1	1	0	1
vingt-quatre	improvise	0	1	1	1	1	1	1	0	1
symétriques	deal	0	0	0	0	0	0	0	0	0
déclarations	make	0	0	0	1	0	0	1	0	0
ignorent	ignore	0	-1	-1	-1	0	1	0	-1	0
lankais	desire	1	1	1	1	0	1	1	1	1
mortifier	suspend	0	0	-1	-1	0	0	1	0	-1
représentais	represent	0	1	0	1	0	1	1	0	0
atome	power	1	0	0	0	0	0	1	0	1
escalade	escalate	0	-1	0	-1	0	0	1	0	0
postérité	down	0	0	0	0	0	0	1	0	0
substitué	replace	0	1	0	0	1	1	1	0	1
solaire	power	1	0	0	0	0	0	1	0	1
CICR	attempt	0	0	1	0	1	0	1	0	0
surpression	pressure	0	0	0	-1	0	0	1	-1	0
mesurerait	measure	0	1	0	0	0	0	1	0	1
mentionné	mention	0	1	0	0	0	1	1	0	0
icebergs	do	1	1	1	0	0	1	1	0	1
exploiteurs	exploit	0	-1	-1	-1	0	1	1	-1	0
union	unite	1	1	0	1	0	1	1	1	0
fair-trade	trade	0	1	1	1	1	1	1	0	1
communicants	communicate	0	1	1	1	0	1	1	0	1
examinaient	be	0	1	0	0	0	0	1	0	1
commission(s	reach	0	1	0	0	0	1	1	0	0
cultivables	cultivate	1	1	1	1	1	1	1	0	1
dilué	down	0	0	0	0	0	0	1	0	0
refoulées	turn	0	0	0	0	0	0	1	0	0
tangibilité	work	1	1	1	1	0	1	1	0	1
hésitaient	be	0	1	0	0	0	0	1	0	1
investies	invest	1	1	1	1	1	1	1	1	1
barque	control	1	0	1	0	1	1	1	0	1
creuserons	open	1	1	1	1	0	0	1	0	1
enchaîne	follow	0	0	1	1	1	1	1	0	1
emploi	work	1	1	1	1	0	1	1	0	1
quantifiables	be	0	1	0	0	0	0	1	0	1
cul	end	0	1	0	0	1	0	1	0	0
administrative	arise	0	0	0	0	0	1	1	0	0
voudra	want	1	0	1	0	0	1	1	0	1
récompensera	reward	1	1	1	1	0	1	1	1	1
accomplissons	be	0	1	0	0	0	0	1	0	1
contrevérités	broadcast	0	0	0	1	1	1	1	0	1
étudieront	look	0	1	1	0	0	0	1	0	1
étudierons	study	1	0	1	1	1	1	1	0	1
œuvrera	work	1	1	1	1	0	1	1	0	1
état-major	staff	1	1	1	1	1	1	1	0	1
aériens	air	0	0	0	-1	0	1	0	0	0
adhéraient	be	0	1	0	0	0	0	1	0	1
embargos	ban	0	-1	-1	-1	0	1	1	0	0
unissait	unite	1	1	0	1	0	1	1	1	0
pragmatiquement	grip	0	0	0	0	0	1	1	0	0
informatives	combat	0	0	0	-1	0	1	1	0	0
alimentation	feed	1	1	1	1	0	1	1	1	1
sommation	challenge	0	1	-1	-1	1	1	1	-1	0
mentionne	mention	0	1	0	0	0	1	1	0	0
estimera	be	0	1	0	0	0	0	1	0	1
principale	major	0	1	0	0	1	1	1	0	1
synthétique	brief	0	0	1	1	1	1	1	0	1
provinciale	level	0	1	1	1	1	0	1	0	1
installerait	locate	0	1	0	1	1	1	1	0	0
nourrisse	have	1	1	1	0	0	1	1	0	1
peindre	paint	1	1	1	1	1	1	1	0	1
split	split	1	0	1	-1	0	1	1	-1	1
défaillante	fail	0	0	-1	-1	-1	0	1	-1	-1
licenciements	cut	0	0	0	-1	0	0	1	0	0
bigoterie	see	1	1	1	1	1	1	1	0	1
mentionnions	mention	0	1	0	0	0	1	1	0	0
indiquant	indicate	0	0	0	1	0	1	1	0	0
gâchées	waste	0	-1	0	-1	-1	1	1	0	-1
marches	step	1	1	1	1	1	0	1	0	1
