de Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
Kräfteverhältnis	balance	0	1	1	1	0	1	1	0	1
vergewaltigten	rape	0	-1	-1	-1	0	1	0	-1	1
Le	provide	1	1	1	1	1	1	1	0	1
hartnäckigen	determine	0	0	0	0	0	0	1	0	1
umschrieben	describe	0	0	0	1	0	0	1	0	1
eingeknickt	give	0	1	1	0	0	0	1	0	1
wann	date	0	0	1	0	1	0	1	0	1
gesenkten	reduce	0	0	0	-1	1	1	1	-1	0
entgegensieht	look	0	1	1	0	0	0	1	0	1
sterben	die	0	1	0	-1	-1	1	1	0	-1
want	want	1	0	1	0	0	1	1	0	1
Hitzewellen	heat	0	0	0	1	0	0	-1	0	1
absolute	complete	1	1	1	1	1	1	1	0	1
Druckpresse	write	1	1	1	1	1	1	1	0	1
Zweig	arm	0	0	0	-1	0	1	0	-1	0
Jetzt	gear	0	0	0	1	1	1	0	0	0
Verkehrsdienstleistungen	transport	0	1	0	1	1	1	1	0	0
LT	vote	0	0	0	1	1	1	1	0	0
vorausgesetzt	provide	1	1	1	1	1	1	1	0	1
unterhaltsam	entertain	1	1	1	1	0	1	1	1	1
zähen	breathe	0	1	0	0	1	1	1	0	1
gestürzten	depose	0	0	-1	-1	1	1	1	-1	1
überführt	transfer	0	0	0	0	0	1	1	0	0
ergreifenden	take	1	1	1	0	1	1	1	0	1
persönlich	own	0	1	1	1	1	1	1	0	1
Reduzierung	reduce	0	0	0	-1	1	1	1	-1	0
rechtsgültig	validate	1	1	1	1	1	1	1	0	1
Personalpolitik	staff	1	1	1	1	1	1	1	0	1
mitunterzeichnet	sign	0	0	1	1	1	1	1	0	1
designierte	designate	0	0	0	1	0	1	1	1	0
Nachbarschaft	close	0	1	1	0	0	1	1	0	1
Produktpalette	range	0	0	0	0	0	0	0	0	0
Nebeneffekt	side	0	0	0	0	1	0	1	0	0
verbindlich	commit	-1	-1	0	0	-1	0	1	0	-1
Niederlassungsfreiheit	reside	0	1	1	1	1	1	1	0	1
endeten	end	0	1	0	0	1	0	1	0	0
widerrechtlich	occupy	0	0	0	0	1	1	1	0	1
Wille	desire	1	1	1	1	0	1	1	1	1
kapitalgedeckten	fund	1	1	1	1	1	1	1	0	1
Streitbeilegungssystem	dispute	0	0	-1	-1	-1	1	1	0	-1
fit	fit	0	0	1	1	0	1	1	0	1
vollständigen	complete	1	1	1	1	1	1	1	0	1
Wertverlust	value	1	1	1	1	0	1	1	1	1
Vorstufe	stage	0	1	1	1	1	0	1	0	1
vollständiges	complete	1	1	1	1	1	1	1	0	1
eingefrorene	freeze	0	0	0	0	0	1	0	-1	0
gebildet	form	1	1	1	1	1	1	1	0	1
Verwaltungsbehörden	manage	1	1	1	1	1	1	1	0	1
Hin	wrangle	0	-1	0	-1	0	1	1	0	1
umlegen	pass	0	1	0	0	0	1	1	0	0
antun	inflict	-1	-1	0	0	0	0	1	0	0
Mai	schedule	1	1	1	1	1	1	1	0	1
brauchbaren	sound	1	0	0	1	0	1	0	0	0
angeschlagenen	depress	0	-1	0	-1	0	1	0	-1	0
Rückschau	review	0	0	0	1	0	1	1	0	0
klingen	sound	1	0	0	1	0	1	0	0	0
ausbreitenden	spread	-1	-1	0	1	0	-1	1	0	0
Kontrollpolitik	control	1	0	1	0	1	1	1	0	1
Unterhaltung	maintain	1	0	1	1	0	1	1	0	1
Rates	position	0	0	0	1	0	1	1	0	0
Arbeitskonflikte	conflict	0	0	0	-1	0	1	1	0	0
Bediensteten	staff	1	1	1	1	1	1	1	0	1
Lohnerhöhung	wage	0	1	1	1	1	1	1	0	1
schlagkräftige	reckon	0	1	1	0	1	1	1	0	1
Gegenseitigkeit	insure	1	1	1	1	1	1	1	0	1
-steuern	tax	0	0	1	1	1	0	1	0	1
Fördergebietskarte	map	0	0	0	0	0	1	1	0	1
Hauptursachen	cause	-1	-1	0	0	0	-1	0	0	0
halbe	breed	-1	-1	0	1	0	0	0	0	0
Ernte	harvest	1	1	1	1	1	1	1	0	1
sinngemäß	say	0	0	0	0	0	0	1	0	0
aufführt	set	0	0	1	1	1	1	1	0	1
überflüssig	need	0	1	1	0	0	1	1	0	0
aktuellen	present	1	1	1	1	1	1	1	0	1
gebundenen	tie	0	0	0	0	1	1	1	0	0
gewährleistete	guarantee	1	1	1	1	1	1	1	1	1
Patrouillen	patrol	0	0	0	0	0	1	1	0	1
geliebt	love	1	1	1	1	1	1	1	1	1
Kapitallasten	charge	-1	0	0	-1	1	1	1	-1	1
zurückzuerstatten	reimburse	1	1	1	1	1	1	1	0	1
Verkehrssicherheit	transport	0	1	0	1	1	1	1	0	0
hinausreicht	reach	0	1	0	0	0	1	1	0	0
abgemildert	mitigate	0	0	0	0	0	0	1	0	0
aktueller	exist	1	1	1	0	1	0	1	0	1
aktuelles	live	1	1	1	1	1	1	1	0	1
einführte	introduce	1	1	1	1	1	1	1	1	1
umgebracht	kill	0	-1	-1	-1	-1	1	0	-1	-1
Strafsanktionen	sanction	0	-1	-1	-1	0	1	1	0	1
dortigen	happen	0	0	0	0	0	0	-1	0	0
Einspeisung	supply	0	0	1	1	1	1	1	0	1
seid	be	0	1	0	0	0	0	1	0	1
zubringen	spend	0	1	0	0	0	0	1	0	0
zusammenzusetzen	sit	0	0	0	0	0	0	0	0	0
Kommissionsmitglieder	complicate	0	-1	0	-1	0	1	0	0	0
grenzenden	border	0	0	0	0	0	0	0	0	0
zuvorzukommen	forestall	0	0	0	-1	0	1	0	-1	0
unterrichtete	inform	1	1	1	1	0	1	1	1	0
Leviten	teach	0	1	1	1	1	1	1	0	1
Freihandel	free	1	1	1	1	1	1	1	1	1
russischen	demolish	0	0	0	-1	1	1	1	0	1
außergerichtlich	settle	0	1	0	1	1	1	1	0	1
gestrichenen	delete	0	0	-1	-1	0	1	1	0	1
draußen	send	1	1	1	0	1	1	1	0	1
anspornen	spur	0	0	0	1	0	1	1	0	0
versagt	fail	0	0	-1	-1	-1	0	1	-1	-1
unbestreitbar	doubt	0	0	-1	-1	0	1	1	0	-1
Steuerfreiheit	tax	0	0	1	1	1	0	1	0	1
stießen	meet	0	1	1	1	1	1	1	0	1
einbezogenen	involve	0	0	0	0	1	1	1	0	0
näherkommen	progress	1	1	0	1	1	1	1	0	1
Verletzten	injure	1	-1	0	-1	0	1	1	-1	-1
freizulassen	release	0	0	0	1	0	1	1	1	1
Rufen	cry	0	1	0	0	-1	0	1	0	-1
Vergnügen	please	0	0	0	1	0	1	1	1	0
Berührung	contact	0	0	1	0	1	1	1	1	1
Rückerstattung	reimburse	1	1	1	1	1	1	1	0	1
Vertrauensvorschuß	trust	1	1	1	1	1	1	1	1	1
herauszugreifen	single	0	0	0	-1	0	0	1	0	0
Ankerwährung	anchor	0	0	1	1	1	0	1	0	1
disziplinierte	discipline	1	1	1	1	0	1	1	0	1
Prüfung	examine	1	1	0	1	0	1	1	0	0
Aufholbedarf	catch	0	1	0	0	1	1	1	0	1
geäußerte	express	-1	0	0	0	1	0	1	0	0
gebotenen	provide	1	1	1	1	1	1	1	0	1
Stimmabgabe	vote	0	0	0	1	1	1	1	0	0
Facetten	respect	1	1	1	1	0	1	1	1	1
durchpeitschen	cram	0	1	0	1	1	1	1	0	1
diesbezüglich	respect	1	1	1	1	0	1	1	1	1
Erlernen	learn	1	1	1	0	1	1	1	0	1
segeln	sail	1	1	1	1	1	1	1	0	1
offengehalten	open	1	1	1	1	0	0	1	0	1
kommerzielle	trade	0	1	1	1	1	1	1	0	1
pauschal	sweep	1	0	0	0	0	1	1	0	0
aufzuwachen	wake	1	0	0	0	0	1	1	-1	0
segelt	sail	1	1	1	1	1	1	1	0	1
antworteten	reply	0	0	0	0	0	1	1	0	0
Erkrankungen	repay	1	1	1	1	1	1	1	0	1
vorangingen	precede	0	0	0	1	0	1	1	0	0
besagt	state	0	1	1	1	0	1	1	0	0
Großteils	mass	0	0	0	1	0	0	1	0	0
Fußballmannschaften	team	0	0	0	1	1	0	1	0	1
singen	sing	1	1	0	1	1	1	1	0	1
Marke	brand	0	0	0	1	1	0	1	0	1
minimale	translate	0	1	0	1	1	0	1	0	1
Tabakrauch	smoke	0	0	1	-1	0	1	1	0	1
Markt	market	0	0	0	1	1	1	1	0	1
geprägte	situate	0	0	1	1	1	1	1	0	1
Enthaltung	abstain	0	0	-1	0	0	0	1	0	1
Überforderung	ask	0	0	0	0	1	1	1	0	0
unbeeinflusst	change	0	1	0	1	0	1	1	0	1
eingestellt	stop	0	0	0	-1	1	1	1	-1	0
Reisen	travel	1	1	1	0	1	0	1	0	1
ausgestellte	issue	0	0	0	1	0	1	1	0	0
weiterzuentwickeln	develop	0	1	0	1	0	0	1	0	0
Speiseabfälle	cater	0	1	1	0	1	0	1	0	1
beschneiden	cut	0	0	0	-1	0	0	1	0	0
abgehalten	hold	0	1	1	1	1	1	1	0	1
bevorzuge	prefer	0	0	1	1	1	1	1	0	1
Anfechtungen	challenge	0	1	-1	-1	1	1	1	-1	0
zurückgenommen	withdraw	0	0	0	-1	0	1	1	0	0
Gesamtkompromisses	compromise	0	-1	0	-1	-1	1	0	0	0
Wartung	maintain	1	0	1	1	0	1	1	0	1
bevorzugt	prefer	0	0	1	1	1	1	1	0	1
Studieren	study	1	0	1	1	1	1	1	0	1
einstellen	stop	0	0	0	-1	1	1	1	-1	0
Reise-	travel	1	1	1	0	1	0	1	0	1
Tatbeständen	grip	0	0	0	0	0	1	1	0	0
gipfeln	culminate	1	1	0	0	0	1	1	0	0
Firmensitz	register	1	0	1	0	1	1	1	0	0
Ermittlungsteams	team	0	0	0	1	1	0	1	0	1
konjunkturellen	speed	1	1	0	1	0	1	1	0	0
schwelenden	freeze	0	0	0	0	0	1	0	-1	0
zahlen	pay	0	0	-1	0	0	-1	1	0	-1
EU-Mitglieder	urge	1	1	1	1	0	1	1	1	1
glaubwürdig	convince	1	0	0	1	0	1	1	0	1
belegbar	process	0	0	1	1	1	1	1	0	0
diskreditieren	discredit	0	-1	-1	-1	0	1	0	-1	0
genötigt	force	0	0	0	-1	0	1	0	-1	0
gefischt	catch	0	1	0	0	1	1	1	0	1
Informationsaustausch	exchange	0	0	1	0	1	0	1	0	0
Rückstände	delay	-1	0	-1	-1	-1	0	1	0	-1
Vollstreckung	enforce	0	0	1	1	0	1	1	0	1
Grundursache	root	1	0	1	1	1	1	1	0	0
gelänge	succeed	0	1	1	0	1	1	1	0	1
Datentransfers	transfer	0	0	0	0	0	1	1	0	0
auffallend	strike	1	1	0	0	0	1	1	0	0
Überschuß	balance	0	1	1	1	0	1	1	0	1
Infragestellung	question	0	0	1	1	1	1	1	0	1
Pflanzenzucht	plant	1	1	1	1	1	1	1	0	1
Einigungsprozess	project	0	0	1	1	1	1	1	0	1
Vertragsbestimmungen	term	1	1	0	1	1	1	0	0	0
Leidwesen	regret	-1	0	-1	-1	-1	-1	1	0	-1
welche	take	1	1	1	0	1	1	1	0	1
Forschungen	research	0	-1	1	1	1	1	1	0	1
erfüllen	meet	0	1	1	1	1	1	1	0	1
ausgewogene	balance	0	1	1	1	0	1	1	0	1
halbwegs	sort	0	0	0	1	0	1	1	0	0
Landwirtschaftsausgaben	spend	0	1	0	0	0	0	1	0	0
unterstreichen	stress	0	0	1	1	0	1	1	0	0
Schiffsverkehrs	ship	1	0	1	1	0	1	1	0	1
Platze	place	0	0	1	1	1	1	1	0	1
Ausdrücke	term	1	1	0	1	1	1	0	0	0
Aufgabenerfüllung	judge	0	0	-1	-1	1	1	1	-1	0
öffentlich-rechtlichen	broadcast	0	0	0	1	1	1	1	0	1
boykottierte	boycott	1	-1	-1	-1	-1	1	1	0	-1
weiterzuarbeiten	continue	1	1	1	1	1	0	1	0	1
demonstrierte	demonstrate	0	0	1	1	0	1	1	0	1
gefangengenommen	imprison	0	-1	-1	-1	0	1	0	-1	0
Halter	master	0	1	0	1	1	1	1	0	1
Vertretungen	represent	0	1	0	1	0	1	1	0	0
gebührende	deserve	1	1	1	0	1	1	1	0	1
gewiß	doubt	0	0	-1	-1	0	1	1	0	-1
.	approve	1	1	1	1	1	1	1	0	1
Halten	hold	0	1	1	1	1	1	1	0	1
Prozentpunkten	point	0	0	0	0	1	0	1	0	0
Ladentheke	shop	0	0	1	0	1	1	1	0	1
Eintreibung	recover	1	1	1	1	1	1	1	0	1
Bedürfnis	need	0	1	1	0	0	1	1	0	0
Unmengen	mass	0	0	0	1	0	0	1	0	0
mutmaßlichen	allege	0	0	0	0	0	1	1	-1	0
Auszahlung	pay	0	0	-1	0	0	-1	1	0	-1
Sportveranstaltungen	sport	1	0	1	1	1	1	1	0	1
transparenteren	open	1	1	1	1	0	0	1	0	1
vorzubringen	forward	1	1	0	1	1	1	1	0	1
Führung	lead	0	1	1	1	1	0	1	0	1
Marktverwaltung	market	0	0	0	1	1	1	1	0	1
Besatzdichte	stock	0	0	1	1	1	1	1	0	1
überhören	ignore	0	-1	-1	-1	0	1	0	-1	0
desto	become	0	0	0	0	0	0	1	0	0
Trinken	drink	0	0	1	0	1	0	1	0	1
rutschen	slide	0	0	0	-1	0	1	0	0	0
zweifache	double	0	0	1	1	1	0	1	0	1
hinwiesen	point	0	0	0	0	1	0	1	0	0
Prämien	prize	1	1	1	1	1	1	1	0	1
aussterbende	die	0	1	0	-1	-1	1	1	0	-1
angehoben	increase	1	1	0	1	0	1	1	0	1
Waffenembargos	arm	0	0	0	-1	0	1	0	-1	0
strengere	tighten	0	0	0	0	0	1	1	0	0
logischerweise	expect	0	1	1	1	0	0	1	0	1
beleidigende	insult	0	-1	-1	-1	0	1	0	-1	1
Kontaktausschusses	contact	0	0	1	0	1	1	1	1	1
Kampftruppen	force	0	0	0	-1	0	1	0	-1	0
split	split	1	0	1	-1	0	1	1	-1	1
Zusammenlegung	merge	0	0	0	1	1	1	1	0	1
junge	emerge	1	1	0	0	0	1	1	0	1
anhängen	hang	0	0	0	1	0	1	1	0	0
geplagten	trouble	0	-1	0	-1	0	1	0	-1	0
relativieren	qualify	1	1	0	1	0	1	1	1	0
verkraftet	cope	0	1	0	0	1	1	1	0	1
zugewiesenen	allocate	0	1	1	1	1	1	1	0	1
verkraften	cope	0	1	0	0	1	1	1	0	1
Schocks	shock	0	0	0	-1	0	1	-1	-1	0
Argumentationslinie	line	0	0	0	0	1	0	1	0	1
Besserung	improve	1	1	1	1	0	1	1	0	1
zusieht	watch	1	1	1	1	1	1	1	0	1
koordinierend	coordinate	0	0	0	1	0	-1	0	0	0
Eisenbahnunternehmen	train	1	1	1	1	1	1	1	1	1
schließen	close	0	1	1	0	0	1	1	0	1
einhergehen	accompany	1	1	1	1	1	1	1	1	1
verschiedenste	range	0	0	0	0	0	0	0	0	0
mittragen	support	1	1	1	1	0	1	1	1	1
Friedensgespräche	talk	0	0	0	0	0	1	1	0	0
zurzeit	present	1	1	1	1	1	1	1	0	1
Brustkrebs	diagnose	0	1	0	1	0	1	1	0	0
wiederholter	repeat	0	1	0	1	0	1	1	0	0
wiederholtes	repeat	0	1	0	1	0	1	1	0	0
wiederholten	repeat	0	1	0	1	0	1	1	0	0
lasse	put	1	1	1	0	1	1	1	0	1
Selbstverständlichkeit	grant	0	0	1	1	0	1	1	0	1
hapert	lack	0	0	0	0	-1	1	1	0	-1
auswechselbaren	tow	0	0	1	1	1	1	0	-1	1
Ordnungsfrage	point	0	0	0	0	1	0	1	0	0
überzeugende	convince	1	0	0	1	0	1	1	0	1
gleichberechtigt	equal	1	1	0	1	0	1	1	0	1
Geschäftspraktiken	practice	0	0	1	1	0	0	1	0	0
Vorbildern	model	0	0	0	1	1	1	1	0	1
Radiosendungen	radio	0	0	1	0	0	1	1	0	1
umfangreiche	major	0	1	0	0	1	1	1	0	1
Immobilienmarkt	house	1	1	0	1	1	1	1	1	1
Anfangsphasen	stage	0	1	1	1	1	0	1	0	1
fielen	fall	0	0	0	-1	-1	0	1	0	-1
kühne	dare	1	1	1	0	1	1	1	0	1
hat	have	1	1	1	0	0	1	1	0	1
ausübt	pressure	0	0	0	-1	0	0	1	-1	0
Bahnstrecke	route	0	0	0	0	0	1	1	0	0
wohlwollend	note	0	0	0	0	0	0	1	0	0
Einsichtnahme	document	0	0	0	0	0	1	1	0	0
Schuß	shoot	0	0	0	-1	0	-1	1	-1	0
vorteilhafte	benefit	1	1	0	1	1	1	1	1	1
Inspekteure	claim	1	1	1	0	1	1	1	0	1
Herbeiführung	bring	0	0	1	1	0	0	1	0	0
Endabstimmungen	vote	0	0	0	1	1	1	1	0	0
Selbstregulierung	regulate	0	0	0	0	1	1	1	0	1
schienen	seem	0	0	0	0	0	-1	0	0	0
Behandlungen	care	1	1	1	1	0	1	1	0	1
gönnen	breathe	0	1	0	0	1	1	1	0	1
Bestandslage	stock	0	0	1	1	1	1	1	0	1
Gütesiegel	mark	0	1	0	0	0	1	1	0	0
Ruhe-	rest	1	1	1	1	1	1	1	0	1
Wettkämpfe	compete	1	1	1	1	1	1	1	0	1
Lagerhaltung	stock	0	0	1	1	1	1	1	0	1
Wohnen	house	1	1	0	1	1	1	1	1	1
ausgelegt	interpret	0	0	1	0	1	1	1	0	1
Ruhetag	rest	1	1	1	1	1	1	1	0	1
Marktbereinigung	sort	0	0	0	1	0	1	1	0	0
gespaltene	split	1	0	1	-1	0	1	1	-1	1
zeugt	show	1	1	1	0	1	0	1	0	0
einzustreichen	defer	0	0	0	-1	0	1	1	0	0
lesen	read	0	0	1	0	1	0	1	0	1
abgewälzt	pass	0	1	0	0	0	1	1	0	0
Garde	guard	1	1	1	1	0	1	1	1	1
Erwähnung	mention	0	1	0	0	0	1	1	0	0
Passus	word	0	1	0	0	0	0	1	0	0
ordnungsgemäß	correct	0	0	0	1	0	1	1	0	0
ablehnende	position	0	0	0	1	0	1	1	0	0
züchten	breed	-1	-1	0	1	0	0	0	0	0
binden	tie	0	0	0	0	1	1	1	0	0
erfasste	cover	0	0	0	1	1	1	1	0	0
zusammenzuführen	unite	1	1	0	1	0	1	1	1	0
bindet	tie	0	0	0	0	1	1	1	0	0
gegenübersieht	face	0	0	0	0	1	1	1	0	1
industrialisierten	industrialize	0	1	0	1	1	1	1	0	1
überholten	date	0	0	1	0	1	0	1	0	1
Verlaub	forgive	1	1	1	1	1	1	1	1	1
Schub	boost	0	0	0	1	0	1	1	0	0
Wiederaufbereitungsanlage	plant	1	1	1	1	1	1	1	0	1
klarzustellen	clarify	0	1	1	1	1	1	1	0	1
Schuh	rub	0	-1	0	-1	0	1	1	-1	0
aufhängen	hang	0	0	0	1	0	1	1	0	0
Verkehrsraum	transport	0	1	0	1	1	1	1	0	0
verwischen	blur	0	0	0	-1	0	0	0	0	0
anbieten	offer	1	1	1	1	1	1	1	0	1
Existenzrechts	exist	1	1	1	0	1	0	1	0	1
Maßnahmenpaket	package	0	0	0	1	1	0	1	0	1
formulierter	formulate	1	1	1	1	1	1	1	0	1
lieber	prefer	0	0	1	1	1	1	1	0	1
formulierten	formulate	1	1	1	1	1	1	1	0	1
Klasse	blow	0	0	0	0	0	0	1	0	0
einzuziehen	recover	1	1	1	1	1	1	1	0	1
anbietet	offer	1	1	1	1	1	1	1	0	1
Verruf	discredit	0	-1	-1	-1	0	1	0	-1	0
Entscheidungsprozessen	make	0	0	0	1	0	0	1	0	0
restriktiver	restrict	0	0	-1	-1	0	1	1	0	1
verhält	behave	0	1	0	0	0	1	1	0	1
betonte	stress	0	0	1	1	0	1	1	0	0
Erwerb	purchase	1	1	1	1	1	1	0	0	1
Ende	end	0	1	0	0	1	0	1	0	0
Abfragen	search	0	0	0	0	0	1	1	0	0
wahrzunehmen	exercise	1	1	1	1	1	1	1	0	1
vereinigten	unite	1	1	0	1	0	1	1	1	0
demütigen	humiliate	0	-1	-1	-1	0	1	0	-1	1
ersticken	stifle	0	-1	0	-1	0	1	0	-1	0
vorbildlich	model	0	0	0	1	1	1	1	0	1
Wiederöffnung	reopen	0	1	0	-1	1	1	1	0	1
Haushaltsführung	account	0	0	0	0	0	1	1	0	0
freisetzen	release	0	0	0	1	0	1	1	1	1
normalen	average	0	1	0	0	0	1	1	0	1
wiedergutmachen	compensate	0	0	0	1	0	1	1	1	0
Wissens	understand	1	1	1	1	1	1	1	0	1
amerikanischen	gain	1	1	1	1	1	1	1	0	1
umzuziehen	move	0	0	0	1	0	1	1	0	0
endete	end	0	1	0	0	1	0	1	0	0
verdreht	twist	0	0	0	0	0	0	1	0	0
Verordnungsentwürfen	draft	1	1	1	1	1	1	1	0	1
amerikanischer	neutralize	0	0	0	-1	0	1	0	-1	0
verhängt	impose	0	0	1	1	1	0	1	0	1
Vorsitzende	head	1	0	1	1	1	1	1	0	1
zusammenleben	live	1	1	1	1	1	1	1	0	1
moderne	advance	0	1	1	1	1	0	1	0	1
Interessensgruppen	lobby	0	0	1	1	1	1	1	0	1
anzustrebende	aspire	1	1	1	1	1	1	1	0	1
Hoffnungszeichen	sign	0	0	1	1	1	1	1	0	1
Schlips	tie	0	0	0	0	1	1	1	0	0
Befehlen	order	0	0	0	-1	0	0	1	0	0
überfällige	deserve	1	1	1	0	1	1	1	0	1
berücksichtigenden	account	0	0	0	0	0	1	1	0	0
Wahrheitsgehalt	comment	0	0	0	0	0	1	1	0	1
Kindersitze	seat	1	1	1	1	0	1	1	1	0
unterschiedlich	vary	0	0	1	0	1	0	1	0	0
fungierte	act	0	0	0	0	0	0	1	0	0
schonungslos	expose	0	0	0	0	0	1	0	0	0
fußt	base	0	1	1	1	1	1	1	0	1
italienische	suggest	1	1	1	1	0	1	1	0	1
Unternehmensumstrukturierungen	restructure	1	1	0	1	1	1	1	0	1
konkrete	clear	0	1	1	1	1	1	1	0	1
obskure	obscure	0	0	0	1	0	1	1	0	0
Flüchtlingen	displace	0	0	0	-1	0	1	0	-1	0
Reisebranche	travel	1	1	1	0	1	0	1	0	1
direktesten	direct	0	0	1	1	0	1	1	0	1
Verordnungspaket	package	0	0	0	1	1	0	1	0	1
Staat“	state	0	1	1	1	0	1	1	0	0
repräsentierte	represent	0	1	0	1	0	1	1	0	0
Wahlmöglichkeit	choose	1	1	1	1	1	1	1	1	1
fortdauernden	continue	1	1	1	1	1	0	1	0	1
ausgelaufen	expire	0	1	0	0	1	0	1	0	1
Heimat	own	0	1	1	1	1	1	1	0	1
zukommenden	deserve	1	1	1	0	1	1	1	0	1
Sanktionsmechanismen	sanction	0	-1	-1	-1	0	1	1	0	1
Mutterschaftsurlaubs	leave	0	0	0	0	0	0	1	-1	0
anhaltend	continue	1	1	1	1	1	0	1	0	1
