pl Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
wyrazi	express	-1	0	0	0	1	0	1	0	0
zainicjujemy	scale	0	0	0	0	0	0	1	0	0
narzekaliśmy	complain	0	0	0	0	0	1	1	0	1
kwestionowano	question	0	0	1	1	1	1	1	0	1
obejdziemy	do	1	1	1	0	0	1	1	0	1
wyrazy	pay	0	0	-1	0	0	-1	1	0	-1
kwestionowany	question	0	0	1	1	1	1	1	0	1
wyrazu	word	0	1	0	0	0	0	1	0	0
znamiennym	court	1	1	1	1	1	1	1	1	1
powiększającej	increase	1	1	0	1	0	1	1	0	1
nadającej	involve	0	0	0	0	1	1	1	0	0
wypiera	be	0	1	0	0	0	0	1	0	1
domaganie	demand	0	0	1	1	0	1	1	0	1
mierzymy	face	0	0	0	0	1	1	1	0	1
napotykać	face	0	0	0	0	1	1	1	0	1
pozbywając	rid	0	0	0	0	0	0	1	0	1
Przyjmuję	welcome	1	1	1	1	1	1	1	1	1
domaganiu	demand	0	0	1	1	0	1	1	0	1
wynagrodzeniem	pay	0	0	-1	0	0	-1	1	0	-1
gestii	matter	0	0	0	-1	0	1	1	0	0
demontażowych	dismantle	0	0	0	-1	1	1	1	0	1
pogłębiać	deepen	1	1	1	1	1	1	1	0	1
przyspieszają	be	0	1	0	0	0	0	1	0	1
sztucznego	assist	1	1	1	1	1	1	1	1	1
LV	prohibit	0	0	-1	-1	0	0	1	0	0
zasługiwać	deserve	1	1	1	0	1	1	1	0	1
kłopotach	trouble	0	-1	0	-1	0	1	0	-1	0
2965	receive	1	1	1	0	1	1	1	0	1
zaniknąć	go	0	0	0	0	0	0	1	0	0
biegają	run	0	1	1	1	1	1	1	0	1
odwiedzali	visit	1	1	1	1	1	1	1	1	1
okazujemy	show	1	1	1	0	1	0	1	0	0
amsterdamskie	test	0	1	1	0	1	1	1	0	1
wyegzekwowane	be	0	1	0	0	0	0	1	0	1
podmiot	subject	0	0	1	1	0	1	1	0	1
opodatkowania	tax	0	0	1	1	1	0	1	0	1
deszczu	rain	0	-1	0	-1	0	0	1	0	1
opodatkowanie	tax	0	0	1	1	1	0	1	0	1
architektonicznym	be	0	1	0	0	0	0	1	0	1
zacieśnianiu	strengthen	1	1	0	1	0	1	1	1	0
mimochodem	pass	0	1	0	0	0	1	1	0	0
przemycenia	control	1	0	1	0	1	1	1	0	1
deszcze	rain	0	-1	0	-1	0	0	1	0	1
opodatkowaniu	tax	0	0	1	1	1	0	1	0	1
odejdą	be	0	1	0	0	0	0	1	0	1
korzystająca	benefit	1	1	0	1	1	1	1	1	1
ubojem	slaughter	0	-1	-1	-1	0	1	0	-1	1
korzystające	depend	0	0	0	0	1	0	1	0	0
uczestniczący	involve	0	0	0	0	1	1	1	0	0
postara	try	0	1	1	0	1	1	1	0	0
oznaczaniem	label	0	0	0	0	0	1	0	0	0
uczestniczące	participate	1	1	1	1	1	1	1	0	1
wyemigrowania	be	0	1	0	0	0	0	1	0	1
uczestnicząca	participate	1	1	1	1	1	1	1	0	1
zasługiwał	deserve	1	1	1	0	1	1	1	0	1
korzystający	be	0	1	0	0	0	0	1	0	1
zniszczyli	destroy	0	-1	-1	-1	0	1	0	-1	0
jakże	be	0	1	0	0	0	0	1	0	1
złagodziły	have	1	1	1	0	0	1	1	0	1
wymienianą	form	1	1	1	1	1	1	1	0	1
CFP	near	0	1	0	0	0	0	1	0	0
przestrzegałbym	caution	1	1	1	1	0	1	1	-1	-1
znudzenia	repeat	0	1	0	1	0	1	1	0	0
produkowanego	produce	1	1	1	1	0	1	1	0	1
zaburzyło	reach	0	1	0	0	0	1	1	0	0
dowiedziała	have	1	1	1	0	0	1	1	0	1
dumpingowi	dump	0	-1	0	-1	1	0	0	-1	1
kazali	leave	0	0	0	0	0	0	1	-1	0
pomyłki	mistake	0	0	-1	-1	-1	1	1	-1	-1
nadaną	be	0	1	0	0	0	0	1	0	1
sprzedawców	welcome	1	1	1	1	1	1	1	1	1
pochodną	follow	0	0	1	1	1	1	1	0	1
sygnalizowali	be	0	1	0	0	0	0	1	0	1
pojętego	conceive	1	1	1	1	1	1	1	0	1
wyznaczona	be	0	1	0	0	0	0	1	0	1
posunięciom	move	0	0	0	1	0	1	1	0	0
podtapiania	water	0	-1	0	-1	0	1	1	0	1
zabawę	dance	0	1	1	1	1	1	1	0	1
wyważają	be	0	1	0	0	0	0	1	0	1
chodziłoby	concern	1	-1	0	-1	0	1	1	-1	0
plażowego	be	0	1	0	0	0	0	1	0	1
wskaźników	rate	0	1	0	1	0	0	1	0	0
niszczycielskich	devastate	1	-1	0	-1	0	1	-1	-1	0
rozdaje	be	0	1	0	0	0	0	1	0	1
przemysłowej	manufacture	1	1	1	1	1	1	1	0	1
wyznaczone	set	0	0	1	1	1	1	1	0	1
wiatrową	wind	0	1	0	0	0	1	1	0	1
idącym	do	1	1	1	0	0	1	1	0	1
lokatorami	sell	0	0	0	0	1	1	1	0	1
odizolować	isolate	0	0	-1	-1	0	1	1	-1	0
zacieśniania	strengthen	1	1	0	1	0	1	1	1	0
osobowych	be	0	1	0	0	0	0	1	0	1
przedłużenia	extend	0	1	1	1	1	1	1	0	1
pozostaliśmy	be	0	1	0	0	0	0	1	0	1
pomogłaby	help	1	1	0	1	0	1	1	1	0
posłuchaliśmy	be	0	1	0	0	0	0	1	0	1
społecznościom	group	0	0	0	1	1	0	1	0	1
intensyfikuje	be	0	1	0	0	0	0	1	0	1
redukcyjne	do	1	1	1	0	0	1	1	0	1
tworzyła	create	1	1	0	1	1	1	1	0	0
złom	scrap	0	0	-1	-1	-1	0	1	0	-1
naruszylibyśmy	be	0	1	0	0	0	0	1	0	1
tworzyło	create	1	1	0	1	1	1	1	0	0
ujednolicającego	codify	0	1	1	1	1	1	1	0	1
tworzyły	create	1	1	0	1	1	1	1	0	0
pochodzących	originate	0	0	0	0	1	1	1	0	1
sfinansowaniem	develop	0	1	0	1	0	0	1	0	0
ocenił	assess	0	1	0	1	0	1	1	0	1
gwarantujące	guarantee	1	1	1	1	1	1	1	1	1
dodają	add	1	1	1	1	1	0	1	0	1
skojarzenie	link	1	1	1	1	1	1	1	0	0
pchnął	push	0	0	-1	-1	0	1	1	-1	0
dodaję	add	1	1	1	1	1	0	1	0	1
wiosna	spring	1	1	1	1	1	1	1	0	1
dyskusjom	debate	0	1	0	1	1	1	1	0	0
utracone	lose	0	0	0	-1	-1	1	1	0	-1
przeciwności	place	0	0	1	1	1	1	1	0	1
utracona	lose	0	0	0	-1	-1	1	1	0	-1
wydawany	issue	0	0	0	1	0	1	1	0	0
ponosili	bear	0	0	0	0	1	1	1	0	0
utracono	lose	0	0	0	-1	-1	1	1	0	-1
eksponowanej	maintain	1	0	1	1	0	1	1	0	1
prędkością	speed	1	1	0	1	0	1	1	0	0
przywrócili	have	1	1	1	0	0	1	1	0	1
śmie	dare	1	1	1	0	1	1	1	0	1
regulowana	regulate	0	0	0	0	1	1	1	0	1
zyskowność	execute	0	0	0	0	0	1	1	0	1
zaznaczamy	point	0	0	0	0	1	0	1	0	0
regulowane	regulate	0	0	0	0	1	1	1	0	1
ocenić	assess	0	1	0	1	0	1	1	0	1
ocenią	be	0	1	0	0	0	0	1	0	1
policją	police	0	0	0	-1	0	1	1	0	0
zamiata	sweep	1	0	0	0	0	1	1	0	0
alokowanie	allocate	0	1	1	1	1	1	1	0	1
zinterpretowanie	look	0	1	1	0	0	0	1	0	1
strata	waste	0	-1	0	-1	-1	1	1	0	-1
alokowania	allocate	0	1	1	1	1	1	1	0	1
uzgodniłem	agree	0	0	0	0	1	1	1	0	1
pochłaniają	be	0	1	0	0	0	0	1	0	1
straty	damage	1	-1	0	-1	0	1	-1	-1	0
używającym	become	0	0	0	0	0	0	1	0	0
pchnąć	move	0	0	0	1	0	1	1	0	0
policję	police	0	0	0	-1	0	1	1	0	0
dopatruję	see	1	1	1	1	1	1	1	0	1
zbrojnymi	arm	0	0	0	-1	0	1	0	-1	0
zinstytucjonalizowanych	apply	0	1	1	1	1	1	1	0	1
przewidywany	anticipate	0	0	0	1	1	0	1	0	0
zależał	depend	0	0	0	0	1	0	1	0	0
powróciły	have	1	1	1	0	0	1	1	0	1
udostępniły	make	0	0	0	1	0	0	1	0	0
powróciła	return	0	0	0	0	0	1	1	0	0
wolontariacka	do	1	1	1	0	0	1	1	0	1
dauhańskiej	complete	1	1	1	1	1	1	1	0	1
powróciło	return	0	0	0	0	0	1	1	0	0
nalegamy	insist	0	0	1	0	0	1	1	0	1
wyeliminował	eliminate	-1	1	-1	-1	1	-1	1	0	0
zgadzałam	agree	0	0	0	0	1	1	1	0	1
pozytywy	side	0	0	0	0	1	0	1	0	0
palcem	point	0	0	0	0	1	0	1	0	0
przebywała	enjoy	1	1	1	1	1	1	1	1	1
myślałam	think	0	0	1	1	1	1	1	1	0
przekażecie	be	0	1	0	0	0	0	1	0	1
czasochłonna	time	0	0	1	0	1	0	1	0	1
składającej	compose	1	1	1	1	1	1	1	0	1
wiatrowe	wind	0	1	0	0	0	1	1	0	1
godzącego	prevent	0	0	0	-1	0	1	1	-1	0
zostałaby	be	0	1	0	0	0	0	1	0	1
roślinom	plant	1	1	1	1	1	1	1	0	1
zaproponowaliście	propose	0	1	1	1	0	0	1	0	1
wszczynano	be	0	1	0	0	0	0	1	0	1
współpracującymi	assist	1	1	1	1	1	1	1	1	1
pracowałyśmy	work	1	1	1	1	0	1	1	0	1
uważaliśmy	have	1	1	1	0	0	1	1	0	1
szkodliwości	damage	1	-1	0	-1	0	1	-1	-1	0
wszczynane	start	1	1	1	1	1	1	1	0	1
intensyfikują	be	0	1	0	0	0	0	1	0	1
któremukolwiek	go	0	0	0	0	0	0	1	0	0
powszechnego	need	0	1	1	0	0	1	1	0	0
uruchomienia	launch	1	1	1	1	1	1	1	0	1
wyrażanych	express	-1	0	0	0	1	0	1	0	0
zabawy	play	1	1	1	1	1	1	1	0	1
uruchomienie	launch	1	1	1	1	1	1	1	0	1
nasilił	have	1	1	1	0	0	1	1	0	1
pierwszoplanową	lead	0	1	1	1	1	0	1	0	1
składały	be	0	1	0	0	0	0	1	0	1
rozdają	be	0	1	0	0	0	0	1	0	1
zakładaliśmy	assume	0	0	0	1	1	0	1	0	0
wiarygodnością	major	0	1	0	0	1	1	1	0	1
ustaleniami	agree	0	0	0	0	1	1	1	0	1
uruchomieniu	launch	1	1	1	1	1	1	1	0	1
składało	consist	0	0	0	0	0	0	-1	0	0
oparte	base	0	1	1	1	1	1	1	0	1
rodzinnej	own	0	1	1	1	1	1	1	0	1
dawne	overcome	0	1	-1	0	1	0	1	0	1
zabawa	play	1	1	1	1	1	1	1	0	1
wyżywić	feed	1	1	1	1	0	1	1	1	1
odpowiedzi	answer	0	1	0	1	0	0	1	0	0
pomyłką	mistake	0	0	-1	-1	-1	1	1	-1	-1
spadała	be	0	1	0	0	0	0	1	0	1
nadano	give	0	1	1	0	0	0	1	0	1
zabezpieczanie	secure	0	0	1	1	1	1	1	0	1
popełniamy	make	0	0	0	1	0	0	1	0	0
nadana	give	0	1	1	0	0	0	1	0	1
zaprosiliśmy	invite	1	1	1	1	1	1	1	1	1
nadane	give	0	1	1	0	0	0	1	0	1
nadany	give	0	1	1	0	0	0	1	0	1
zabezpieczaniu	secure	0	0	1	1	1	1	1	0	1
wzmiankowane	do	1	1	1	0	0	1	1	0	1
pomyłkę	mistake	0	0	-1	-1	-1	1	1	-1	-1
niewybuchów	cluster	0	0	0	1	0	0	-1	0	0
rozprawiając	go	0	0	0	0	0	0	1	0	0
wpływom	influence	0	0	0	0	0	1	1	0	0
opowiedziało	vote	0	0	0	1	1	1	1	0	0
wymieniano	mention	0	1	0	0	0	1	1	0	0
przeprowadzany	do	1	1	1	0	0	1	1	0	1
posuwając	go	0	0	0	0	0	0	1	0	0
podejrzanymi	suspect	-1	0	-1	0	-1	-1	1	0	-1
uznam	consider	1	1	1	1	1	1	1	0	1
przeprowadzana	carry	0	1	1	0	0	1	1	0	0
chwilowo	deserve	1	1	1	0	1	1	1	0	1
opowiedziały	be	0	1	0	0	0	0	1	0	1
przeprowadzane	carry	0	1	1	0	0	1	1	0	0
czasochłonne	time	0	0	1	0	1	0	1	0	1
natężonego	be	0	1	0	0	0	0	1	0	1
wymagałyby	require	0	1	1	0	1	1	1	0	0
przeprowadzano	be	0	1	0	0	0	0	1	0	1
okłamywać	lie	0	0	0	0	0	1	1	0	0
dokonywanie	make	0	0	0	1	0	0	1	0	0
ujmowany	need	0	1	1	0	0	1	1	0	0
ocenie	assess	0	1	0	1	0	1	1	0	1
dokonywania	make	0	0	0	1	0	0	1	0	0
ocenia	be	0	1	0	0	0	0	1	0	1
targa	catch	0	1	0	0	1	1	1	0	1
wybaczenie	excuse	0	0	0	0	0	0	1	0	1
zagłębiania	act	0	0	0	0	0	0	1	0	0
dokonywaniu	make	0	0	0	1	0	0	1	0	0
Pascual	be	0	1	0	0	0	0	1	0	1
stratę	waste	0	-1	0	-1	-1	1	1	0	-1
zdjęcia	picture	0	0	0	0	0	1	1	0	0
zacznie	start	1	1	1	1	1	1	1	0	1
mieściła	fall	0	0	0	-1	-1	0	1	0	-1
utraconą	lose	0	0	0	-1	-1	1	1	0	-1
wmawiać	tell	1	1	0	1	0	1	1	0	0
podpisu	sign	0	0	1	1	1	1	1	0	1
łatwym	make	0	0	0	1	0	0	1	0	0
zainwestowaniem	invest	1	1	1	1	1	1	1	1	1
spotęgowały	have	1	1	1	0	0	1	1	0	1
Pandory	can	0	0	0	0	0	1	1	0	1
podpisy	sign	0	0	1	1	1	1	1	0	1
ludzkiej	be	0	1	0	0	0	0	1	0	1
zakazywanie	ban	0	-1	-1	-1	0	1	1	0	0
zakazywania	ban	0	-1	-1	-1	0	1	1	0	0
wczorajszych	elect	1	1	1	1	1	1	1	1	1
regulowaną	regulate	0	0	0	0	1	1	1	0	1
czyniąc	do	1	1	1	0	0	1	1	0	1
podpiszemy	sign	0	0	1	1	1	1	1	0	1
przysłonić	overshadow	0	-1	0	-1	0	1	0	0	0
oddalania	try	0	1	1	0	1	1	1	0	0
dodaje	add	1	1	1	1	1	0	1	0	1
maja	have	1	1	1	0	0	1	1	0	1
wydatki	spend	0	1	0	0	0	0	1	0	0
osią	be	0	1	0	0	0	0	1	0	1
maju	last	0	0	0	0	0	-1	-1	0	0
przygotowanej	prepare	1	1	1	1	1	1	1	1	1
wyraźniejsza	clear	0	1	1	1	1	1	1	0	1
wyraźniejsze	pronounce	0	1	1	0	0	1	1	0	1
prowadziłoby	lead	0	1	1	1	1	0	1	0	1
zadała	ask	0	0	0	0	1	1	1	0	0
obrazkowych	amend	1	1	1	1	1	1	1	0	1
opublikowaną	publish	1	1	1	1	1	1	1	0	1
naukowiec	can	0	0	0	0	0	1	1	0	1
gwarantując	guarantee	1	1	1	1	1	1	1	1	1
przyjmującego	host	1	1	1	1	1	1	1	0	1
przemilcza	be	0	1	0	0	0	0	1	0	1
stłumione	suppress	0	0	-1	-1	0	1	1	-1	0
zamówić	order	0	0	0	-1	0	0	1	0	0
przegra	lose	0	0	0	-1	-1	1	1	0	-1
rzesza	number	0	0	0	1	0	0	1	0	0
stłumiono	be	0	1	0	0	0	0	1	0	1
zobowiążą	commit	-1	-1	0	0	-1	0	1	0	-1
osobę	figure	0	0	0	0	0	0	0	0	0
współudziale	involve	0	0	0	0	1	1	1	0	0
obwiniać	blame	-1	-1	-1	-1	-1	1	1	-1	-1
zgwałconych	rape	0	-1	-1	-1	0	1	0	-1	1
lubi	like	1	1	1	1	0	1	1	1	1
niszczącego	devastate	1	-1	0	-1	0	1	-1	-1	0
odmówili	refuse	0	0	-1	-1	0	1	1	-1	0
zrzucanie	dump	0	-1	0	-1	1	0	0	-1	1
gwałtów	rape	0	-1	-1	-1	0	1	0	-1	1
zrównoważonej	balance	0	1	1	1	0	1	1	0	1
powodzeniu	be	0	1	0	0	0	0	1	0	1
uchylony	abolish	-1	1	-1	-1	1	1	1	-1	1
odnotowaliśmy	have	1	1	1	0	0	1	1	0	1
rozpatrzyliśmy	have	1	1	1	0	0	1	1	0	1
przepływach	flow	0	0	0	0	0	0	1	0	0
upublicznianie	need	0	1	1	0	0	1	1	0	0
upubliczniania	make	0	0	0	1	0	0	1	0	0
rzeczywista	subject	0	0	1	1	0	1	1	0	1
Rio	hold	0	1	1	1	1	1	1	0	1
rzeczywiste	produce	1	1	1	1	0	1	1	0	1
wyrażały	express	-1	0	0	0	1	0	1	0	0
przypomniały	remind	1	1	1	1	0	1	1	0	0
mając	give	0	1	1	0	0	0	1	0	1
nieskuteczny	do	1	1	1	0	0	1	1	0	1
dodając	add	1	1	1	1	1	0	1	0	1
zaplanowana	plan	1	1	1	1	1	1	1	0	1
aspektach	respect	1	1	1	1	0	1	1	1	1
scenariusze	lie	0	0	0	0	0	1	1	0	0
bywałem	have	1	1	1	0	0	1	1	0	1
scenariusza	happen	0	0	0	0	0	0	-1	0	0
przepracowanych	work	1	1	1	1	0	1	1	0	1
błądzić	err	0	0	0	-1	0	1	1	0	1
nieskuteczna	fail	0	0	-1	-1	-1	0	1	-1	-1
scenariuszu	stand	0	1	1	0	1	0	1	0	0
zaplanowany	plan	1	1	1	1	1	1	1	0	1
nieskuteczne	work	1	1	1	1	0	1	1	0	1
loty	fly	0	1	1	0	0	0	1	0	1
odpowiedzieli	have	1	1	1	0	0	1	1	0	1
rzesze	number	0	0	0	1	0	0	1	0	0
oddziałał	have	1	1	1	0	0	1	1	0	1
lotu	air	0	0	0	-1	0	1	0	0	0
broniącym	defend	1	1	1	1	0	1	1	1	1
mieszczą	fall	0	0	0	-1	-1	0	1	0	-1
roślinami	plant	1	1	1	1	1	1	1	0	1
czyjej	side	0	0	0	0	1	0	1	0	0
kłopotliwym	embarrass	0	-1	0	-1	0	1	0	-1	0
natura	have	1	1	1	0	0	1	1	0	1
podpowiada	tell	1	1	0	1	0	1	1	0	0
szukałam	search	0	0	0	0	0	1	1	0	0
próżny	sort	0	0	0	1	0	1	1	0	0
Brons	go	0	0	0	0	0	0	1	0	0
postawimy	put	1	1	1	0	1	1	1	0	1
natury	be	0	1	0	0	0	0	1	0	1
próżno	see	1	1	1	1	1	1	1	0	1
udzielanych	grant	0	0	1	1	0	1	1	0	1
sparaliżował	have	1	1	1	0	0	1	1	0	1
poradzono	regard	1	1	1	1	1	1	1	1	1
Pochlebia	be	0	1	0	0	0	0	1	0	1
pełnionej	be	0	1	0	0	0	0	1	0	1
pat	break	0	0	-1	-1	1	1	1	0	1
dowiodą	demonstrate	0	0	1	1	0	1	1	0	1
powinny	need	0	1	1	0	0	1	1	0	0
wymienionych	mention	0	1	0	0	0	1	1	0	0
ukazanie	show	1	1	1	0	1	0	1	0	0
ukazania	award	1	1	1	1	0	1	1	0	1
zasadniczych	major	0	1	0	0	1	1	1	0	1
owoce	bear	0	0	0	0	1	1	1	0	0
produkując	produce	1	1	1	1	0	1	1	0	1
zabierające	be	0	1	0	0	0	0	1	0	1
odstąpimy	be	0	1	0	0	0	0	1	0	1
pesymizm	be	0	1	0	0	0	0	1	0	1
zrównuje	equate	0	0	0	0	0	1	1	0	0
rolno-spożywczych	produce	1	1	1	1	0	1	1	0	1
zniweczonych	be	0	1	0	0	0	0	1	0	1
owocu	piece	0	0	0	0	1	0	1	0	1
postawieni	bring	0	0	1	1	0	0	1	0	0
nakładów	fund	1	1	1	1	1	1	1	0	1
codziennie	be	0	1	0	0	0	0	1	0	1
łączył	alert	0	0	0	1	0	1	1	0	0
kontaktowej	contact	0	0	1	0	1	1	1	1	1
dokumentom	document	0	0	0	0	0	1	1	0	0
grupach	group	0	0	0	1	1	0	1	0	1
